assembly1	assembly2	mean1	median1	sd1	min1	max1	mean2	median2	sd2	min2	max2	p_value	p_adj_BH	p_adj_bonf
CHM13	HG002 mat	2.71444186	2.699	0.522027015	1.551	3.687	2.458826087	2.397	0.463373011	1.454	3.651	0.018050954	0.024214694	0.99280245
CHM13	HG002 pat	2.71444186	2.699	0.522027015	1.551	3.687	2.371302326	2.288	0.389466946	1.638	3.416	0.000856197	0.001272725	0.047090817
CHM13	I002C hap1	2.71444186	2.699	0.522027015	1.551	3.687	5.065590909	4.7835	1.515068228	2.591	9.859	7.71E-14	2.65E-13	4.24E-12
CHM13	I002C hap2	2.71444186	2.699	0.522027015	1.551	3.687	4.660391304	4.585	1.232711654	2.44	7.437	4.22E-12	8.94E-12	2.32E-10
CHM13	YAO mat	2.71444186	2.699	0.522027015	1.551	3.687	9.561586957	9.6715	2.925264232	4.164	17.995	4.82E-16	8.69E-15	2.65E-14
CHM13	YAO pat	2.71444186	2.699	0.522027015	1.551	3.687	8.316325581	7.971	2.009573346	3.073	13.187	3.13E-15	2.15E-14	1.72E-13
CHM13	RPE1 hap1	2.71444186	2.699	0.522027015	1.551	3.687	4.788842105	4.7675	1.01962085	2.626	6.748	1.41E-12	3.67E-12	7.73E-11
CHM13	RPE1 hap2	2.71444186	2.699	0.522027015	1.551	3.687	4.81974359	4.643	0.872793148	3.174	7.051	1.86E-14	8.51E-14	1.02E-12
CHM13	H9 hap1	2.71444186	2.699	0.522027015	1.551	3.687	8.013108696	6.9265	4.488986633	0.758	19.222	2.03E-10	3.49E-10	1.12E-08
CHM13	H9 hap2	2.71444186	2.699	0.522027015	1.551	3.687	6.607186047	5.93	3.443524795	1.862	14.862	1.24E-10	2.27E-10	6.81E-09
HG002 mat	HG002 pat	2.458826087	2.397	0.463373011	1.454	3.651	2.371302326	2.288	0.389466946	1.638	3.416	0.338810491	0.388220354	1
HG002 mat	I002C hap1	2.458826087	2.397	0.463373011	1.454	3.651	5.065590909	4.7835	1.515068228	2.591	9.859	2.33E-15	2.14E-14	1.28E-13
HG002 mat	I002C hap2	2.458826087	2.397	0.463373011	1.454	3.651	4.660391304	4.585	1.232711654	2.44	7.437	2.92E-14	1.23E-13	1.60E-12
HG002 mat	YAO mat	2.458826087	2.397	0.463373011	1.454	3.651	9.561586957	9.6715	2.925264232	4.164	17.995	1.48E-16	8.15E-15	8.15E-15
HG002 mat	YAO pat	2.458826087	2.397	0.463373011	1.454	3.651	8.316325581	7.971	2.009573346	3.073	13.187	6.32E-16	8.69E-15	3.47E-14
HG002 mat	RPE1 hap1	2.458826087	2.397	0.463373011	1.454	3.651	4.788842105	4.7675	1.01962085	2.626	6.748	4.24E-14	1.55E-13	2.33E-12
HG002 mat	RPE1 hap2	2.458826087	2.397	0.463373011	1.454	3.651	4.81974359	4.643	0.872793148	3.174	7.051	3.51E-15	2.15E-14	1.93E-13
HG002 mat	H9 hap1	2.458826087	2.397	0.463373011	1.454	3.651	8.013108696	6.9265	4.488986633	0.758	19.222	5.84E-11	1.15E-10	3.21E-09
HG002 mat	H9 hap2	2.458826087	2.397	0.463373011	1.454	3.651	6.607186047	5.93	3.443524795	1.862	14.862	3.45E-12	7.71E-12	1.90E-10
HG002 pat	I002C hap1	2.371302326	2.288	0.389466946	1.638	3.416	5.065590909	4.7835	1.515068228	2.591	9.859	2.99E-15	2.15E-14	1.64E-13
HG002 pat	I002C hap2	2.371302326	2.288	0.389466946	1.638	3.416	4.660391304	4.585	1.232711654	2.44	7.437	1.58E-14	7.90E-14	8.69E-13
HG002 pat	YAO mat	2.371302326	2.288	0.389466946	1.638	3.416	9.561586957	9.6715	2.925264232	4.164	17.995	4.82E-16	8.69E-15	2.65E-14
HG002 pat	YAO pat	2.371302326	2.288	0.389466946	1.638	3.416	8.316325581	7.971	2.009573346	3.073	13.187	1.67E-15	1.84E-14	9.20E-14
HG002 pat	RPE1 hap1	2.371302326	2.288	0.389466946	1.638	3.416	4.788842105	4.7675	1.01962085	2.626	6.748	4.13E-14	1.55E-13	2.27E-12
HG002 pat	RPE1 hap2	2.371302326	2.288	0.389466946	1.638	3.416	4.81974359	4.643	0.872793148	3.174	7.051	8.33E-15	4.58E-14	4.58E-13
HG002 pat	H9 hap1	2.371302326	2.288	0.389466946	1.638	3.416	8.013108696	6.9265	4.488986633	0.758	19.222	1.47E-10	2.61E-10	8.10E-09
HG002 pat	H9 hap2	2.371302326	2.288	0.389466946	1.638	3.416	6.607186047	5.93	3.443524795	1.862	14.862	2.19E-12	5.23E-12	1.20E-10
I002C hap1	I002C hap2	5.065590909	4.7835	1.515068228	2.591	9.859	4.660391304	4.585	1.232711654	2.44	7.437	0.368123525	0.413199875	1
I002C hap1	YAO mat	5.065590909	4.7835	1.515068228	2.591	9.859	9.561586957	9.6715	2.925264232	4.164	17.995	1.30E-11	2.66E-11	7.18E-10
I002C hap1	YAO pat	5.065590909	4.7835	1.515068228	2.591	9.859	8.316325581	7.971	2.009573346	3.073	13.187	1.01E-10	1.92E-10	5.58E-09
I002C hap1	RPE1 hap1	5.065590909	4.7835	1.515068228	2.591	9.859	4.788842105	4.7675	1.01962085	2.626	6.748	0.812561395	0.827608828	1
I002C hap1	RPE1 hap2	5.065590909	4.7835	1.515068228	2.591	9.859	4.81974359	4.643	0.872793148	3.174	7.051	0.732233824	0.75986529	1
I002C hap1	H9 hap1	5.065590909	4.7835	1.515068228	2.591	9.859	8.013108696	6.9265	4.488986633	0.758	19.222	0.00094855	0.001337698	0.05217023
I002C hap1	H9 hap2	5.065590909	4.7835	1.515068228	2.591	9.859	6.607186047	5.93	3.443524795	1.862	14.862	0.08405287	0.100497996	1
I002C hap2	YAO mat	4.660391304	4.585	1.232711654	2.44	7.437	9.561586957	9.6715	2.925264232	4.164	17.995	2.07E-13	6.69E-13	1.14E-11
I002C hap2	YAO pat	4.660391304	4.585	1.232711654	2.44	7.437	8.316325581	7.971	2.009573346	3.073	13.187	2.49E-13	7.61E-13	1.37E-11
I002C hap2	RPE1 hap1	4.660391304	4.585	1.232711654	2.44	7.437	4.788842105	4.7675	1.01962085	2.626	6.748	0.442260924	0.476948056	1
I002C hap2	RPE1 hap2	4.660391304	4.585	1.232711654	2.44	7.437	4.81974359	4.643	0.872793148	3.174	7.051	0.466867266	0.493801916	1
I002C hap2	H9 hap1	4.660391304	4.585	1.232711654	2.44	7.437	8.013108696	6.9265	4.488986633	0.758	19.222	9.29E-05	0.000150315	0.005110703
I002C hap2	H9 hap2	4.660391304	4.585	1.232711654	2.44	7.437	6.607186047	5.93	3.443524795	1.862	14.862	0.009588315	0.013183933	0.527357314
YAO mat	YAO pat	9.561586957	9.6715	2.925264232	4.164	17.995	8.316325581	7.971	2.009573346	3.073	13.187	0.038164149	0.046645071	1
YAO mat	RPE1 hap1	9.561586957	9.6715	2.925264232	4.164	17.995	4.788842105	4.7675	1.01962085	2.626	6.748	3.50E-12	7.71E-12	1.93E-10
