file_number,phrase,trc,readID,telo_length
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.774,m84091_241205_180120_s2/250483469/ccs,850
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.720,m84091_241205_180120_s2/227544218/ccs,970
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.846,m84091_241205_180120_s2/214896773/ccs,2800
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.906,m84091_241205_180120_s2/239670621/ccs,880
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.804,m84091_241205_180120_s2/240717589/ccs,1300
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.900,m84091_241205_180120_s2/264244871/ccs,1360
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.750,m84091_241205_180120_s2/216930055/ccs,1420
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.720,m84091_241205_180120_s2/232984365/ccs,2410
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.702,m84091_241205_180120_s2/259264868/ccs,1390
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.768,m84091_241205_180120_s2/242880835/ccs,1750
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.996,m84091_241205_180120_s2/216077755/ccs,4300
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.858,m84091_241205_180120_s2/68223297/ccs,1060
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.996,m84091_241205_180120_s2/27396563/ccs,4360
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.708,m84091_241205_180120_s2/69271928/ccs,910
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.990,m84091_241205_180120_s2/59312890/ccs,4630
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.864,m84091_241205_180120_s2/12714152/ccs,1270
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.978,m84091_241205_180120_s2/39389228/ccs,1480
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.888,m84091_241205_180120_s2/16451460/ccs,1180
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,1.050,m84091_241205_180120_s2/54921408/ccs,1060
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.864,m84091_241205_180120_s2/95094774/ccs,760
m84091_241205_180120_s2.hifi_reads.bc1003.fastq,4,0.858,m84091_241205_180120_s2/67897317/ccs,760
