file_number,phrase,trc,readID,telo_length
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.804,4e499020-3c2e-47f4-96cb-6b3704c50fa0,1540
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.032,98e8018f-b980-4c9b-b7b5-0bb8868d7424,1120
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.840,a480513a-aae3-4b08-b5e3-6c0e09b1be9b,5200
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.744,1f9916fc-ae1e-43f7-92de-d2f02edea0ae,430
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.762,5cc55a44-d1cc-47db-880a-8084324a335d,2980
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,03b6af8c-b2af-414e-b9bf-5dd441dc18d4,6970
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.404,16d38648-79ae-4254-a3dc-8420f00602fe,1480
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.026,a0a1a868-8c1b-4c32-aa3c-b70c2bf93696,2380
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.942,6e65a506-343d-4362-8060-3d4fe5d0f337,16960
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,3a1b11ae-94c9-4029-a600-05ae78625b9a,7840
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,f92779f6-c259-483d-8374-49483269ee01,3640
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.762,0338f081-2165-434c-90b3-e099a07f4c54,1150
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.038,b57575b8-1fc4-4b09-93eb-de30e459d69e,10270
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.870,73d4b3a7-fa7a-4f9e-804e-67350f73efa7,1030
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.714,d893a06a-0814-448f-bc7e-5370eeed0303,700
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,5816b811-d9e8-400f-9017-e9da7f17faad,4600
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,20d620e7-205a-4f4d-a6ee-d8447760d2bf,6280
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,12901aeb-e005-4961-a4ad-05a45f0fd52e,9370
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,8232619f-d098-4fee-ac8d-e352db0d38f7,8170
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.374,9fd88b5b-67bf-4d92-95d0-40fabd084999,970
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,431c3636-a5dd-4f00-8ae8-850e1fe9cb34,6160
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,bfb033f4-a3bc-4452-9c6b-4e9b5de3d7d9,8140
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.846,6d30cef2-cb52-4511-95d6-223c57d6f47b,1630
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,3c1c8ceb-bdd6-417f-b836-d1aa369771f0,5650
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,f1561eb8-3522-4b97-a205-63d7410292d8,8290
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.852,a0d50f05-ff81-4189-ba81-e18d88194601,1000
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,eb8a34a5-c879-41ce-bc81-85f593c97055,9610
