test	p_raw	p_adj_BH	p_adj_Bonferroni	rank
Correct – all reads | Welch HiFi acro vs meta	8.656959633554163e-09	4.1553406241059984e-07	4.1553406241059984e-07	1
Correct – all reads | KW HiFi	2.0442400915916073e-06	4.9061762198198575e-05	9.812352439639715e-05	2
Correct – all reads | Meta HiFi > Acro HiFi	4.124113184120116e-06	6.598581094592185e-05	0.00019795743283776554	3
Correct – all reads | MWU HiFi acro vs meta	8.248226368240231e-06	9.897871641888277e-05	0.0003959148656755311	4
Correct – all reads | MWU HiFi acro vs subm	1.0508211651763505e-05	0.00010087883185692964	0.0005043941592846482	5
Correct – excl. repeats | Acro ONT > Meta ONT	0.0003196696712045687	0.00255735736963655	0.015344144217819298	6
Correct – excl. repeats | MWU ONT acro vs meta	0.0006393393424091374	0.004384041205091228	0.030688288435638596	7
Correct – excl. repeats | KW ONT	0.001341280546170346	0.00739221607991772	0.0643814662161766	8
Correct – excl. repeats | MWU ONT acro vs subm	0.0013860405149845724	0.00739221607991772	0.06652994471925948	9
Correct – excl. repeats | Meta HiFi > Acro HiFi	0.005381559126908544	0.02583148380916101	0.2583148380916101	10
Correct – excl. repeats | Welch ONT acro vs meta	0.008830125910073431	0.03853145851668406	0.4238460436835247	11
Correct – excl. repeats | MWU HiFi acro vs meta	0.010763118253817087	0.04305247301526835	0.5166296761832202	12
Correct – excl. repeats | Welch HiFi acro vs meta	0.01606641946985129	0.05852061451468182	0.7711881345528618	13
Error – excl. repeats | Welch HiFi acro vs meta	0.018281757634941248	0.05852061451468182	0.8775243664771799	14
Correct – excl. repeats | KW HiFi	0.018287692035838066	0.05852061451468182	0.8778092177202272	15
Correct – excl. repeats | MWU HiFi acro vs subm	0.021928684850735045	0.06578605455220514	1.0	16
Error – excl. repeats | MWU HiFi acro vs meta	0.037924578477867434	0.10708116276103746	1.0	17
Error – excl. repeats | Acro ONT > Meta ONT	0.07909930027100093	0.1968888150650082	1.0	18
Error – excl. repeats | KW HiFi	0.07995089475215897	0.1968888150650082	1.0	19
Error – excl. repeats | MWU HiFi acro vs subm	0.0852985607431173	0.1968888150650082	1.0	20
Correct – all reads | MWU HiFi meta vs subm	0.08613885659094109	0.1968888150650082	1.0	21
Error – all reads | Acro ONT > Meta ONT	0.093732943208169	0.20450823972691418	1.0	22
Correct – all reads | Welch ONT acro vs meta	0.10912956395343085	0.22774865520716	1.0	23
Error – excl. repeats | MWU ONT acro vs meta	0.15819860054200185	0.3163972010840037	1.0	24
Error – all reads | MWU HiFi acro vs meta	0.17385491083021165	0.32137009099943653	1.0	25
Error – all reads | Welch HiFi acro vs meta	0.17567702014523306	0.32137009099943653	1.0	26
Correct – all reads | MWU ONT acro vs subm	0.18302310470308225	0.32137009099943653	1.0	27
Error – all reads | MWU ONT acro vs meta	0.187465886416338	0.32137009099943653	1.0	28
Correct – all reads | Acro ONT > Meta ONT	0.25453291157715907	0.4083617444030132	1.0	29
Correct – excl. repeats | MWU HiFi meta vs subm	0.25522609025188325	0.4083617444030132	1.0	30
Error – excl. repeats | MWU ONT meta vs subm	0.2976028436526562	0.4206547016108133	1.0	31
Error – all reads | MWU ONT meta vs subm	0.304224383981337	0.4206547016108133	1.0	32
Error – all reads | MWU HiFi acro vs subm	0.30557039502731664	0.4206547016108133	1.0	33
Error – excl. repeats | MWU HiFi meta vs subm	0.3095514623421223	0.4206547016108133	1.0	34
Error – excl. repeats | Welch ONT acro vs meta	0.31537365568432363	0.4206547016108133	1.0	35
Error – all reads | Welch ONT acro vs meta	0.31549102620811	0.4206547016108133	1.0	36
Error – all reads | KW HiFi	0.33435556485354606	0.43375857062081646	1.0	37
Error – all reads | MWU HiFi meta vs subm	0.4096926274051296	0.5066125148608237	1.0	38
Error – excl. repeats | KW ONT	0.4116226683244193	0.5066125148608237	1.0	39
Correct – all reads | KW ONT	0.44665319445293605	0.5266529403629018	1.0	40
Error – all reads | KW ONT	0.44984938655997864	0.5266529403629018	1.0	41
Correct – all reads | MWU ONT acro vs meta	0.5090658231543181	0.5817895121763635	1.0	42
Correct – excl. repeats | MWU ONT meta vs subm	0.6457313111851517	0.7208163473694716	1.0	43
Error – excl. repeats | MWU ONT acro vs subm	0.752467006068987	0.820873097529804	1.0	44
Error – all reads | MWU ONT acro vs subm	0.8279999978107644	0.8822428412626447	1.0	45
Correct – all reads | MWU ONT meta vs subm	0.8454827228767012	0.8822428412626447	1.0	46
Error – all reads | Meta HiFi > Acro HiFi	0.9175153308885564	0.9370369336734193	1.0	47
Error – excl. repeats | Meta HiFi > Acro HiFi	0.9823238080867059	0.9823238080867059	1.0	48
