dataset	category	length_bp	percentage
HiFi	correct	335484	48.43729922106798
HiFi	simple_repeat	286879	41.41969203670149
HiFi	het_or_mismap	17334	2.5026890841232143
HiFi	mismatch	16041	2.3160052843210153
HiFi	misjoin	13316	1.922568815286992
HiFi	low_quality	7872	1.1365621593525985
HiFi	deletion	7303	1.0544097370111822
HiFi	softclip	5634	0.8134389235000686
HiFi	insertion	2701	0.3899713404994116
HiFi	homopolymer	51	0.007363398136049608
ONT	correct	532347	76.8604491672863
ONT	het_or_mismap	113680	16.41315882561019
ONT	simple_repeat	43516	6.2828555546732305
ONT	misjoin	2172	0.31359413238234807
ONT	softclip	547	0.07897605451802228
ONT	homopolymer	243	0.03508442641294225
ONT	insertion	83	0.011983569515531717
ONT	false_dup	18	0.0025988464009586857
ONT	low_quality	7	0.001010662489261711
ONT	mismatch	2	0.0002887607112176317
