chrom	start	end	weight
chr1_hap1	0	50000	
chr1_hap1	50000	100000	
chr1_hap1	100000	150000	
chr1_hap1	150000	200000	
chr1_hap1	200000	250000	0.0150063
chr1_hap1	250000	300000	0.0161252
chr1_hap1	300000	350000	0.0142035
chr1_hap1	350000	400000	0.0106988
chr1_hap1	400000	450000	0.010089
chr1_hap1	450000	500000	0.0101792
chr1_hap1	500000	550000	0.0121831
chr1_hap1	550000	600000	0.0107112
chr1_hap1	600000	650000	0.0103825
chr1_hap1	650000	700000	0.0102829
chr1_hap1	700000	750000	0.00999051
chr1_hap1	750000	800000	0.00999109
chr1_hap1	800000	850000	0.00967752
chr1_hap1	850000	900000	0.0107679
chr1_hap1	900000	950000	0.0113323
chr1_hap1	950000	1000000	0.0103102
chr1_hap1	1000000	1050000	0.00951831
chr1_hap1	1050000	1100000	0.0118962
chr1_hap1	1100000	1150000	0.0129631
chr1_hap1	1150000	1200000	0.0126333
chr1_hap1	1200000	1250000	0.00882931
chr1_hap1	1250000	1300000	0.0100517
chr1_hap1	1300000	1350000	0.00924125
chr1_hap1	1350000	1400000	0.00902998
chr1_hap1	1400000	1450000	0.00899697
chr1_hap1	1450000	1500000	0.00928507
chr1_hap1	1500000	1550000	0.00984583
chr1_hap1	1550000	1600000	0.00927627
chr1_hap1	1600000	1650000	0.00868986
chr1_hap1	1650000	1700000	0.00908232
chr1_hap1	1700000	1750000	0.00985772
chr1_hap1	1750000	1800000	0.0105098
chr1_hap1	1800000	1850000	0.00965831
chr1_hap1	1850000	1900000	0.0104679
chr1_hap1	1900000	1950000	0.0110923
chr1_hap1	1950000	2000000	0.0106077
chr1_hap1	2000000	2050000	0.0106818
chr1_hap1	2050000	2100000	0.0110695
chr1_hap1	2100000	2150000	
chr1_hap1	2150000	2200000	
chr1_hap1	2200000	2250000	
chr1_hap1	2250000	2300000	
chr1_hap1	2300000	2350000	
chr1_hap1	2350000	2400000	
chr1_hap1	2400000	2450000	
chr1_hap1	2450000	2500000	0.0136875
chr1_hap1	2500000	2550000	0.0136365
chr1_hap1	2550000	2600000	0.0130179
chr1_hap1	2600000	2650000	0.0113747
chr1_hap1	2650000	2700000	0.0112687
chr1_hap1	2700000	2750000	0.0101862
chr1_hap1	2750000	2800000	0.00952197
chr1_hap1	2800000	2850000	0.0113852
chr1_hap1	2850000	2900000	0.00993059
chr1_hap1	2900000	2950000	0.0101023
chr1_hap1	2950000	3000000	0.00957225
chr1_hap1	3000000	3050000	0.0101587
chr1_hap1	3050000	3100000	0.00926264
chr1_hap1	3100000	3150000	0.0116359
chr1_hap1	3150000	3200000	0.0110333
chr1_hap1	3200000	3250000	0.0115175
chr1_hap1	3250000	3300000	0.00893315
chr1_hap1	3300000	3350000	0.00910673
chr1_hap1	3350000	3400000	0.0100086
chr1_hap1	3400000	3450000	0.00866626
chr1_hap1	3450000	3500000	0.00898906
chr1_hap1	3500000	3550000	0.00910031
chr1_hap1	3550000	3600000	0.00858653
chr1_hap1	3600000	3650000	0.00906481
chr1_hap1	3650000	3700000	0.00947154
chr1_hap1	3700000	3750000	0.0107861
chr1_hap1	3750000	3800000	0.00979302
chr1_hap1	3800000	3850000	0.0100382
chr1_hap1	3850000	3900000	0.0101349
chr1_hap1	3900000	3950000	0.011704
chr1_hap1	3950000	4000000	0.010404
chr1_hap1	4000000	4050000	0.0106906
chr1_hap1	4050000	4100000	0.0104
chr1_hap1	4100000	4150000	0.0104856
chr1_hap1	4150000	4200000	0.0108517
chr1_hap1	4200000	4250000	0.0104398
chr1_hap1	4250000	4300000	0.00971104
chr1_hap1	4300000	4350000	0.00963637
chr1_hap1	4350000	4400000	0.0108777
chr1_hap1	4400000	4450000	0.00940432
chr1_hap1	4450000	4500000	0.00999311
chr1_hap1	4500000	4550000	0.0106472
chr1_hap1	4550000	4600000	0.0104707
chr1_hap1	4600000	4650000	0.0103892
chr1_hap1	4650000	4700000	0.0101139
chr1_hap1	4700000	4750000	0.0105594
chr1_hap1	4750000	4800000	0.0107511
chr1_hap1	4800000	4850000	0.0110373
chr1_hap1	4850000	4900000	0.0107167
chr1_hap1	4900000	4950000	0.0099528
chr1_hap1	4950000	5000000	0.0104133
chr1_hap1	5000000	5050000	0.010082
chr1_hap1	5050000	5100000	0.00971644
chr1_hap1	5100000	5150000	0.0101561
chr1_hap1	5150000	5200000	0.0099532
chr1_hap1	5200000	5250000	0.0105634
chr1_hap1	5250000	5300000	0.00930705
chr1_hap1	5300000	5350000	0.00996413
chr1_hap1	5350000	5400000	0.0102835
chr1_hap1	5400000	5450000	0.00942539
chr1_hap1	5450000	5500000	0.00975649
chr1_hap1	5500000	5550000	0.0094706
chr1_hap1	5550000	5600000	0.00902727
chr1_hap1	5600000	5650000	0.00993438
chr1_hap1	5650000	5700000	0.0092055
chr1_hap1	5700000	5750000	0.00906192
chr1_hap1	5750000	5800000	0.00940143
chr1_hap1	5800000	5850000	0.0088071
chr1_hap1	5850000	5900000	0.0084203
chr1_hap1	5900000	5950000	0.00895516
chr1_hap1	5950000	6000000	0.00941289
chr1_hap1	6000000	6050000	0.00852029
chr1_hap1	6050000	6100000	0.00816686
chr1_hap1	6100000	6150000	0.00901588
chr1_hap1	6150000	6200000	0.00894373
chr1_hap1	6200000	6250000	0.00829561
chr1_hap1	6250000	6300000	0.00840106
chr1_hap1	6300000	6350000	0.00945302
chr1_hap1	6350000	6400000	0.00844211
chr1_hap1	6400000	6450000	0.00902255
chr1_hap1	6450000	6500000	0.00909539
chr1_hap1	6500000	6550000	0.0102299
chr1_hap1	6550000	6600000	0.00973564
chr1_hap1	6600000	6650000	0.0101549
chr1_hap1	6650000	6700000	0.00903495
chr1_hap1	6700000	6750000	0.00954063
chr1_hap1	6750000	6800000	0.0101068
chr1_hap1	6800000	6850000	0.00990314
chr1_hap1	6850000	6900000	0.0101307
chr1_hap1	6900000	6950000	0.00978353
chr1_hap1	6950000	7000000	0.00946434
chr1_hap1	7000000	7050000	0.0104327
chr1_hap1	7050000	7100000	0.0108253
chr1_hap1	7100000	7150000	0.0101834
chr1_hap1	7150000	7200000	0.0111378
chr1_hap1	7200000	7250000	0.00890336
chr1_hap1	7250000	7300000	0.0111475
chr1_hap1	7300000	7350000	0.00919374
chr1_hap1	7350000	7400000	0.00977587
chr1_hap1	7400000	7450000	0.0106193
chr1_hap1	7450000	7500000	0.0100037
chr1_hap1	7500000	7550000	0.00996136
chr1_hap1	7550000	7600000	0.00868317
chr1_hap1	7600000	7650000	0.00910478
chr1_hap1	7650000	7700000	0.00877208
chr1_hap1	7700000	7750000	0.00930035
chr1_hap1	7750000	7800000	0.00872687
chr1_hap1	7800000	7850000	0.00868917
chr1_hap1	7850000	7900000	0.00851959
chr1_hap1	7900000	7950000	0.00794417
chr1_hap1	7950000	8000000	0.00907963
chr1_hap1	8000000	8050000	0.00907205
chr1_hap1	8050000	8100000	0.0101852
chr1_hap1	8100000	8150000	0.0095191
chr1_hap1	8150000	8200000	0.0111786
chr1_hap1	8200000	8250000	0.0100319
chr1_hap1	8250000	8300000	0.0104609
chr1_hap1	8300000	8350000	0.00977969
chr1_hap1	8350000	8400000	0.00962423
chr1_hap1	8400000	8450000	0.00977947
chr1_hap1	8450000	8500000	0.00880782
chr1_hap1	8500000	8550000	0.00751022
chr1_hap1	8550000	8600000	0.00852219
chr1_hap1	8600000	8650000	0.00894557
chr1_hap1	8650000	8700000	0.00856487
chr1_hap1	8700000	8750000	0.00981862
chr1_hap1	8750000	8800000	0.00860526
chr1_hap1	8800000	8850000	0.00865502
chr1_hap1	8850000	8900000	0.00899233
chr1_hap1	8900000	8950000	0.00855649
chr1_hap1	8950000	9000000	0.00903508
chr1_hap1	9000000	9050000	0.00931346
chr1_hap1	9050000	9100000	0.00980391
chr1_hap1	9100000	9150000	0.00972015
chr1_hap1	9150000	9200000	0.00864049
chr1_hap1	9200000	9250000	0.00892772
chr1_hap1	9250000	9300000	0.00986139
chr1_hap1	9300000	9350000	0.00869186
chr1_hap1	9350000	9400000	0.00820046
chr1_hap1	9400000	9450000	0.00934868
chr1_hap1	9450000	9500000	0.00848552
chr1_hap1	9500000	9550000	0.00900652
chr1_hap1	9550000	9600000	0.00899954
chr1_hap1	9600000	9650000	0.0084507
chr1_hap1	9650000	9700000	0.00783249
chr1_hap1	9700000	9750000	0.00836403
chr1_hap1	9750000	9800000	0.00866109
chr1_hap1	9800000	9850000	0.00966855
chr1_hap1	9850000	9900000	0.00874009
chr1_hap1	9900000	9950000	0.00946674
chr1_hap1	9950000	10000000	0.010776
chr1_hap1	10000000	10050000	0.00943947
chr1_hap1	10050000	10100000	0.0093283
chr1_hap1	10100000	10150000	0.00899008
chr1_hap1	10150000	10200000	0.00870723
chr1_hap1	10200000	10250000	0.00900418
chr1_hap1	10250000	10300000	0.00957108
chr1_hap1	10300000	10350000	0.00898338
chr1_hap1	10350000	10400000	0.00913361
chr1_hap1	10400000	10450000	0.00913828
chr1_hap1	10450000	10500000	0.00888983
chr1_hap1	10500000	10550000	0.00856794
chr1_hap1	10550000	10600000	0.00872466
chr1_hap1	10600000	10650000	0.00863905
chr1_hap1	10650000	10700000	0.00843851
chr1_hap1	10700000	10750000	0.00871712
chr1_hap1	10750000	10800000	0.00978492
chr1_hap1	10800000	10850000	0.0103889
chr1_hap1	10850000	10900000	0.0106613
chr1_hap1	10900000	10950000	0.010388
chr1_hap1	10950000	11000000	0.00895402
chr1_hap1	11000000	11050000	0.00864056
chr1_hap1	11050000	11100000	0.00842093
chr1_hap1	11100000	11150000	0.00955342
chr1_hap1	11150000	11200000	0.00996632
chr1_hap1	11200000	11250000	0.0103506
chr1_hap1	11250000	11300000	0.00942609
chr1_hap1	11300000	11350000	0.00905325
chr1_hap1	11350000	11400000	0.0086162
chr1_hap1	11400000	11450000	0.00859234
chr1_hap1	11450000	11500000	0.00801908
chr1_hap1	11500000	11550000	0.0092603
chr1_hap1	11550000	11600000	0.00937659
chr1_hap1	11600000	11650000	0.00825991
chr1_hap1	11650000	11700000	0.00895606
chr1_hap1	11700000	11750000	0.00933025
chr1_hap1	11750000	11800000	0.00836499
chr1_hap1	11800000	11850000	0.00906
chr1_hap1	11850000	11900000	0.00898058
chr1_hap1	11900000	11950000	0.0090951
chr1_hap1	11950000	12000000	0.00998021
chr1_hap1	12000000	12050000	0.00991234
chr1_hap1	12050000	12100000	0.00992694
chr1_hap1	12100000	12150000	0.0102647
chr1_hap1	12150000	12200000	0.00994262
chr1_hap1	12200000	12250000	0.00870603
chr1_hap1	12250000	12300000	0.00949526
chr1_hap1	12300000	12350000	0.00838161
chr1_hap1	12350000	12400000	0.0102204
chr1_hap1	12400000	12450000	0.0112818
chr1_hap1	12450000	12500000	0.0129029
chr1_hap1	12500000	12550000	0.0168195
chr1_hap1	12550000	12600000	
chr1_hap1	12600000	12650000	
chr1_hap1	12650000	12700000	
chr1_hap1	12700000	12750000	
chr1_hap1	12750000	12800000	
chr1_hap1	12800000	12850000	
chr1_hap1	12850000	12900000	
chr1_hap1	12900000	12950000	
chr1_hap1	12950000	13000000	
chr1_hap1	13000000	13050000	0.0135541
chr1_hap1	13050000	13100000	0.0135478
chr1_hap1	13100000	13150000	0.0104791
chr1_hap1	13150000	13200000	0.0104483
chr1_hap1	13200000	13250000	0.0102031
chr1_hap1	13250000	13300000	0.00973876
chr1_hap1	13300000	13350000	0.00984066
chr1_hap1	13350000	13400000	0.012012
chr1_hap1	13400000	13450000	0.00978848
chr1_hap1	13450000	13500000	0.00989883
chr1_hap1	13500000	13550000	0.0108942
chr1_hap1	13550000	13600000	0.0104589
chr1_hap1	13600000	13650000	0.0109709
chr1_hap1	13650000	13700000	0.0113386
chr1_hap1	13700000	13750000	0.0105552
chr1_hap1	13750000	13800000	0.00908993
chr1_hap1	13800000	13850000	0.0109391
chr1_hap1	13850000	13900000	0.0114292
chr1_hap1	13900000	13950000	0.00986088
chr1_hap1	13950000	14000000	0.0106589
chr1_hap1	14000000	14050000	0.0101526
chr1_hap1	14050000	14100000	0.0102823
chr1_hap1	14100000	14150000	0.010194
chr1_hap1	14150000	14200000	0.00916762
chr1_hap1	14200000	14250000	0.00954706
chr1_hap1	14250000	14300000	0.00961213
chr1_hap1	14300000	14350000	0.00947493
chr1_hap1	14350000	14400000	0.00939518
chr1_hap1	14400000	14450000	0.0090437
chr1_hap1	14450000	14500000	0.00968493
chr1_hap1	14500000	14550000	0.00926125
chr1_hap1	14550000	14600000	0.00966629
chr1_hap1	14600000	14650000	0.00933874
chr1_hap1	14650000	14700000	0.00837689
chr1_hap1	14700000	14750000	0.00890343
chr1_hap1	14750000	14800000	0.00834105
chr1_hap1	14800000	14850000	0.00890448
chr1_hap1	14850000	14900000	0.00910274
chr1_hap1	14900000	14950000	0.0088108
chr1_hap1	14950000	15000000	0.00939296
