chrom	start	end	name	eigval1	eigval2	eigval3
chr1_hap1	0	250382078	chr1_hap1	1183.125790932571	-1143.5812340979614	1127.1542160662193
chr2_hap1	0	242438398	chr2_hap1	-1094.641984246931	1090.5963996750008	-1086.0081469079705
chr3_hap1	0	200940782	chr3_hap1	-953.9877096716018	948.3189050840889	934.9676108991985
chr4_hap1	0	193253728	chr4_hap1	-896.2321795605009	894.1122960615207	-893.9078882679138
chr5_hap1	0	186212366	chr5_hap1	-926.8607961332292	922.9162806935218	904.0958514609518
chr6_hap1	0	173051588	chr6_hap1	-863.5666675484772	859.2173662676905	-839.3371425911191
chr7_hap1	0	161716607	chr7_hap1	839.7314510416531	-829.4767608619095	-825.8033260462795
chr8_hap1	0	145465483	chr8_hap1	753.3495726734998	-739.364693113523	731.0498379040812
chr9_hap1	0	135918162	chr9_hap1	-808.2560609446791	799.1558350230616	-793.5454348986981
chr10_hap1	0	134385439	chr10_hap1	759.4495980325579	-759.2610120545091	755.8127104234796
chr11_hap1	0	133922055	chr11_hap1	-741.5939532651091	741.1722922904268	735.9713122903053
chr12_hap1	0	133376810	chr12_hap1	-796.4642821486267	779.362609403764	772.5459404637522
chr13_hap1	0	107377685	chr13_hap1	692.7490905136586	683.1350745374333	-678.751941951138
chr14_hap1	0	102710047	chr14_hap1	-644.8395438453487	642.1649936644033	-629.9861109006096
chr15_hap1	0	96346030	chr15_hap1	649.6427499454467	-625.5409085241247	622.2404590118196
chr16_hap1	0	96215701	chr16_hap1	696.533262149631	680.6916557371501	-680.2238232176669
chr17_hap1	0	86176721	chr17_hap1	557.0010264698088	547.2013655650782	-538.3177561812395
chr18_hap1	0	77553665	chr18_hap1	-563.4745882893294	551.1197379993196	-521.455645398321
chr19_hap1	0	69461520	chr19_hap1	400.9846423946958	-384.190242514544	-378.8565606964379
chr20_hap1	0	66775821	chr20_hap1	-489.1801031131714	485.1842901370276	-480.0929084893012
chr21_hap1	0	44404722	chr21_hap1	-380.5104128052676	374.2661194518643	-351.6523396998328
chr22_hap1	0	47079544	chr22_hap1	408.1532167199585	400.5943652648446	-393.59370382199626
chrX_hap1	0	155153153	chrX_hap1	-853.3789757173824	-843.2123933300845	843.1527731139653
chr1_hap2	0	243198671	chr1_hap2	-1116.6782799862383	1091.3952380444211	-1084.8882106363744
chr2_hap2	0	242142825	chr2_hap2	1103.9401328451045	-1103.3416569534413	1097.9700144298604
chr3_hap2	0	202683022	chr3_hap2	-943.1673111245643	938.5066674828536	933.9547802773233
chr4_hap2	0	191171759	chr4_hap2	921.2840852509158	-918.7674216418502	-914.5064674731647
chr5_hap2	0	182409348	chr5_hap2	-913.6675940528241	903.5458932229226	892.5402557010086
chr6_hap2	0	172871300	chr6_hap2	880.9123670325035	-877.8530035321041	-864.3647326331832
chr7_hap2	0	161232845	chr7_hap2	-828.3639382408102	825.5392038167157	-816.5817603652407
chr8_hap2	0	145868755	chr8_hap2	-762.8696609835724	748.6532799533875	-727.674456972315
chr9_hap2	0	135032811	chr9_hap2	-799.055528059377	785.7844408154323	762.1457120973612
chr10_hap2	0	135648429	chr10_hap2	809.0696490347757	-808.3286584375383	783.0188910812894
chr11_hap2	0	136138868	chr11_hap2	-742.826163804457	730.4887139319073	-718.5015855511274
chr12_hap2	0	134127282	chr12_hap2	799.6257732664112	-783.0200375016808	-760.2781108364576
chr13_hap2	0	112572639	chr13_hap2	-711.4626947108893	695.1147491743473	653.918115004658
chr14_hap2	0	101767573	chr14_hap2	-687.0968721635941	675.5087946508469	-651.3178974435245
chr15_hap2	0	96851046	chr15_hap2	662.3125638287611	643.6251304067656	-641.7200650623322
chr16_hap2	0	87971686	chr16_hap2	-653.605419244247	639.6331827411334	616.1364521231254
chr17_hap2	0	83829559	chr17_hap2	-634.0068872621814	627.2777048291817	-589.7341296555115
chr18_hap2	0	80564282	chr18_hap2	578.5617625757849	-570.3229950766541	528.8451189872046
chr19_hap2	0	61548830	chr19_hap2	448.8986255225435	-407.54346019907194	-403.6759153526594
chr20_hap2	0	65603693	chr20_hap2	501.8884681318092	-486.5051427826037	470.07213890389295
chr21_hap2	0	42759301	chr21_hap2	315.4122169351176	-303.83192922408705	-296.9492039578928
chr22_hap2	0	48623973	chr22_hap2	-416.9736173714916	414.104097584462	408.7506032261288
chrX_hap2	0	153704768	chrX_hap2	823.4896146353652	-819.0361148299298	-817.2930172053926
