telo_id	chr_display	arm	hap	total_length_bp	chr_type	HiFi_rescued	ONT_rescued	correct	error	mismatch_signal	repeat	correct_pct	ONT_rescued_pct	HiFi_rescued_pct	repeat_pct	mismatch_signal_pct	error_pct	_rescued_pct
chr1_q_hap1	chr1	q	hap1	5545	metacentric	0	0	5545	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3_q_hap1	chr3	q	hap1	4361	metacentric	0	0	4361	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4_q_hap1	chr4	q	hap1	10835	submetacentric	0	0	10835	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6_p_hap1	chr6	p	hap1	5540	submetacentric	0	0	5540	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr17_p_hap1	chr17	p	hap1	4853	submetacentric	0	0	4853	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr18_p_hap1	chr18	p	hap1	1570	submetacentric	0	0	1570	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1_q_hap2	chr1	q	hap2	5011	metacentric	0	0	5011	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3_p_hap2	chr3	p	hap2	2869	metacentric	0	0	2869	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3_q_hap2	chr3	q	hap2	2127	metacentric	0	0	2127	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr8_p_hap2	chr8	p	hap2	5943	submetacentric	0	0	5943	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr16_q_hap2	chr16	q	hap2	5473	metacentric	0	0	5473	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr17_q_hap2	chr17	q	hap2	7037	submetacentric	0	0	7037	0	0	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4_p_hap2	chr4	p	hap2	9196	submetacentric	1	0	9195	0	0	0	99.98912570682906	0.0	0.01087429317094389	0.0	0.0	0.0	0.01087429317094389
chr8_q_hap2	chr8	q	hap2	6442	submetacentric	0	0	6441	0	1	0	99.9844768705371	0.0	0.0	0.0	0.01552312946289972	0.0	0.0
chr11_p_hap2	chr11	p	hap2	6283	submetacentric	0	0	6282	1	0	0	99.98408403628841	0.0	0.0	0.0	0.0	0.01591596371160274	0.0
chr17_p_hap2	chr17	p	hap2	6145	submetacentric	0	1	6144	0	0	0	99.98372660699756	0.016273393002441006	0.0	0.0	0.0	0.0	0.016273393002441006
chr7_p_hap1	chr7	p	hap1	6013	submetacentric	0	1	6012	0	0	0	99.98336936637286	0.016630633627141192	0.0	0.0	0.0	0.0	0.016630633627141192
chr12_q_hap2	chr12	q	hap2	4481	submetacentric	0	1	4480	0	0	0	99.9776835527784	0.02231644722160232	0.0	0.0	0.0	0.0	0.02231644722160232
chr10_p_hap2	chr10	p	hap2	4392	submetacentric	0	1	4391	0	0	0	99.97723132969034	0.022768670309653915	0.0	0.0	0.0	0.0	0.022768670309653915
chr11_p_hap1	chr11	p	hap1	4368	submetacentric	1	0	4367	0	0	0	99.97710622710623	0.0	0.022893772893772892	0.0	0.0	0.0	0.022893772893772892
chr20_q_hap2	chr20	q	hap2	5930	metacentric	1	1	5928	0	0	0	99.9662731871838	0.016863406408094434	0.016863406408094434	0.0	0.0	0.0	0.03372681281618887
chr9_p_hap2	chr9	p	hap2	2865	submetacentric	1	0	2864	0	0	0	99.96509598603839	0.0	0.034904013961605584	0.0	0.0	0.0	0.034904013961605584
chr19_q_hap1	chr19	q	hap1	5335	metacentric	0	0	5333	0	2	0	99.96251171508904	0.0	0.0	0.0	0.03748828491096533	0.0	0.0
chr20_p_hap2	chr20	p	hap2	4496	metacentric	0	0	4494	0	1	1	99.95551601423487	0.0	0.0	0.022241992882562275	0.022241992882562275	0.0	0.0
chrX_q_hap2	chrX	q	hap2	3156	submetacentric	0	0	3154	0	2	0	99.93662864385297	0.0	0.0	0.0	0.06337135614702154	0.0	0.0
chr18_q_hap2	chr18	q	hap2	2796	submetacentric	0	0	2794	0	2	0	99.92846924177397	0.0	0.0	0.0	0.07153075822603719	0.0	0.0
chr8_q_hap1	chr8	q	hap1	4110	submetacentric	0	3	4107	0	0	0	99.92700729927007	0.072992700729927	0.0	0.0	0.0	0.0	0.072992700729927
chr20_p_hap1	chr20	p	hap1	1100	metacentric	1	0	1099	0	0	0	99.90909090909092	0.0	0.09090909090909091	0.0	0.0	0.0	0.09090909090909091
chr13_q_hap2	chr13	q	hap2	11981	acrocentric	0	12	11969	0	0	0	99.89984141557467	0.10015858442534013	0.0	0.0	0.0	0.0	0.10015858442534013
chr13_p_hap1	chr13	p	hap1	10985	acrocentric	0	0	10968	0	0	17	99.84524351388256	0.0	0.0	0.15475648611743287	0.0	0.0	0.0
chr9_q_hap1	chr9	q	hap1	5938	submetacentric	0	0	5928	0	0	10	99.83159312899966	0.0	0.0	0.1684068710003368	0.0	0.0	0.0
chr16_p_hap2	chr16	p	hap2	4599	metacentric	0	0	4591	0	8	0	99.82604914111764	0.0	0.0	0.0	0.17395085888236572	0.0	0.0
chr4_q_hap2	chr4	q	hap2	2253	submetacentric	0	0	2249	1	3	0	99.8224589436307	0.0	0.0	0.0	0.13315579227696406	0.044385264092321346	0.0
chrX_q_hap1	chrX	q	hap1	12397	submetacentric	0	0	12369	0	0	28	99.77413890457369	0.0	0.0	0.2258610954263128	0.0	0.0	0.0
chr19_p_hap2	chr19	p	hap2	7242	metacentric	0	2	7225	0	15	0	99.76525821596243	0.027616680475006903	0.0	0.0	0.2071251035625518	0.0	0.027616680475006903
chr1_p_hap1	chr1	p	hap1	4535	metacentric	1	1	4511	22	0	0	99.47078280044101	0.02205071664829107	0.02205071664829107	0.0	0.0	0.48511576626240355	0.04410143329658214
chr5_q_hap1	chr5	q	hap1	11348	submetacentric	0	71	11276	0	0	1	99.36552696510398	0.62566090941135	0.0	0.008812125484666901	0.0	0.0	0.62566090941135
chr7_q_hap1	chr7	q	hap1	4045	submetacentric	0	0	4018	26	0	1	99.33250927070458	0.0	0.0	0.024721878862793575	0.0	0.6427688504326329	0.0
