chrom	start	end	name	eigval1	eigval2	eigval3
chr1_hap2	0	243198671	chr1_hap2	8103.531985049205	-4436.751819224529	4374.477490763649
chr2_hap2	0	242142825	chr2_hap2	7320.42317169954	3979.2952614698315	-3529.084179570874
chr3_hap2	0	202683022	chr3_hap2	6202.758041195198	-3658.014065354534	3561.447988833942
chr4_hap2	0	191171759	chr4_hap2	4227.87620785388	3012.3833550542386	-2925.1266310141978
chr5_hap2	0	182409348	chr5_hap2	4868.7868047539205	2975.6623643351622	-2680.8819389282585
chr6_hap2	0	172871300	chr6_hap2	4513.41575883454	-3421.7051686971595	3268.918517129282
chr7_hap2	0	161232845	chr7_hap2	5203.184273667734	3044.267006509771	-2089.6183528901847
chr8_hap2	0	145868755	chr8_hap2	3341.787111608296	2289.089730537529	-2112.0319974952895
chr9_hap2	0	135032811	chr9_hap2	3365.0857418725755	2287.8105619745097	-2011.6223757116745
chr10_hap2	0	135648429	chr10_hap2	3616.7123945176054	2261.183119412894	1872.956562157649
chr11_hap2	0	136138868	chr11_hap2	4467.713753084138	2933.379036514282	-2656.400534179326
chr12_hap2	0	134127282	chr12_hap2	4489.471678711253	-2760.3231036242114	2258.7705085252605
chr13_hap2	0	112572639	chr13_hap2	2426.186408423324	1874.1999259393003	-1845.5367458095964
chr14_hap2	0	101767573	chr14_hap2	2415.3338198938036	1585.1346551337836	-1346.0458032127242
chr15_hap2	0	96851046	chr15_hap2	1941.6388486623018	1472.8989010591708	-1273.2729618804951
chr16_hap2	0	87971686	chr16_hap2	2424.2451153779716	-1274.2700808585794	1231.128619151973
chr17_hap2	0	83829559	chr17_hap2	2931.5178428263457	1561.8542550750767	-1539.5568072859146
chr18_hap2	0	80564282	chr18_hap2	2031.720801214815	1237.7526239159135	-1139.6607745016022
chr19_hap2	0	61548830	chr19_hap2	1987.5985539817452	1174.9011533243304	942.6121736310132
chr20_hap2	0	65603693	chr20_hap2	1610.07992783396	1229.753756819454	-1176.7822239320742
chr21_hap2	0	42759301	chr21_hap2	1012.0474989580255	-972.5613154835962	639.3016607462762
chr22_hap2	0	48623973	chr22_hap2	696.2003779312709	-543.7231344049434	519.0486970768522
chrX_hap2	0	153704768	chrX_hap2	4128.890007555646	2768.9695854233105	-2501.335845592697
