chrom	start	end	name	eigval1	eigval2	eigval3
chr1_hap2	0	243198671	chr1_hap2	402.78769184979217	-208.1778281985393	182.2601746292027
chr2_hap2	0	242142825	chr2_hap2	358.86258265592454	161.184661115827	-137.29372812837485
chr3_hap2	0	202683022	chr3_hap2	303.3569947254108	-169.08684346007993	154.38183537367013
chr4_hap2	0	191171759	chr4_hap2	189.59101692686716	109.19501131668964	-98.58068640120469
chr5_hap2	0	182409348	chr5_hap2	228.88506230397758	111.23827770166942	-96.107554197751
chr6_hap2	0	172871300	chr6_hap2	217.00746055481574	-151.9070505039604	139.24151956512597
chr7_hap2	0	161232845	chr7_hap2	257.1863479728999	125.04582206454403	-76.86967554550203
chr8_hap2	0	145868755	chr8_hap2	156.34236605360607	82.66078099495205	-72.21678359815908
chr9_hap2	0	135032811	chr9_hap2	160.7679287617994	96.85789953729495	-90.57908849822174
chr10_hap2	0	135648429	chr10_hap2	172.45128564469786	83.06628953812692	-62.386423064647985
chr11_hap2	0	136138868	chr11_hap2	217.85084665234058	126.7233816455492	-120.96818909644156
chr12_hap2	0	134127282	chr12_hap2	215.29507962991914	-118.17030157829352	85.61442525091131
chr13_hap2	0	112572639	chr13_hap2	110.32137734381139	-78.69131516848513	73.32852135053844
chr14_hap2	0	101767573	chr14_hap2	111.71184464473825	58.525961424614245	-50.0429449244165
chr15_hap2	0	96851046	chr15_hap2	90.56585755038331	58.64927364312009	-51.29840220452517
chr16_hap2	0	87971686	chr16_hap2	115.23656804955584	-47.831694027655416	44.74193751716588
chr17_hap2	0	83829559	chr17_hap2	141.95010431118197	-67.41247945375015	62.03476855411519
chr18_hap2	0	80564282	chr18_hap2	95.69032340319518	-48.007545318800204	47.16513587659628
chr19_hap2	0	61548830	chr19_hap2	87.9064708449862	45.93125304870667	-35.12535590386058
chr20_hap2	0	65603693	chr20_hap2	73.21784206850184	52.83058567536677	-51.367393798696575
chr21_hap2	0	42759301	chr21_hap2	-47.28319730367827	47.092742239588304	24.340285387576373
chr22_hap2	0	48623973	chr22_hap2	29.01713302759822	-20.921076402506902	18.713627662190053
chrX_hap2	0	153704768	chrX_hap2	206.43914389432373	123.048445712205	-105.68324191824901
