chrom	start	end	weight
chr1_hap1	0	50000	0.208087
chr1_hap1	50000	100000	0.362686
chr1_hap1	100000	150000	
chr1_hap1	150000	200000	0.862449
chr1_hap1	200000	250000	0.0893571
chr1_hap1	250000	300000	0.120505
chr1_hap1	300000	350000	0.140738
chr1_hap1	350000	400000	0.222567
chr1_hap1	400000	450000	0.0887269
chr1_hap1	450000	500000	0.124724
chr1_hap1	500000	550000	0.0929919
chr1_hap1	550000	600000	0.121738
chr1_hap1	600000	650000	0.0762264
chr1_hap1	650000	700000	0.0824846
chr1_hap1	700000	750000	0.0711086
chr1_hap1	750000	800000	0.181318
chr1_hap1	800000	850000	0.0661379
chr1_hap1	850000	900000	0.082567
chr1_hap1	900000	950000	0.102887
chr1_hap1	950000	1000000	0.0990202
chr1_hap1	1000000	1050000	0.127493
chr1_hap1	1050000	1100000	0.857981
chr1_hap1	1100000	1150000	0.0912403
chr1_hap1	1150000	1200000	0.0684396
chr1_hap1	1200000	1250000	0.120526
chr1_hap1	1250000	1300000	0.144528
chr1_hap1	1300000	1350000	0.0973098
chr1_hap1	1350000	1400000	0.0881189
chr1_hap1	1400000	1450000	
chr1_hap1	1450000	1500000	
chr1_hap1	1500000	1550000	
chr1_hap1	1550000	1600000	0.38729
chr1_hap1	1600000	1650000	
chr1_hap1	1650000	1700000	
chr1_hap1	1700000	1750000	0.780715
chr1_hap1	1750000	1800000	0.379643
chr1_hap1	1800000	1850000	0.117086
chr1_hap1	1850000	1900000	0.162003
chr1_hap1	1900000	1950000	0.359722
chr1_hap1	1950000	2000000	
chr1_hap1	2000000	2050000	
chr1_hap1	2050000	2100000	
chr1_hap1	2100000	2150000	
chr1_hap1	2150000	2200000	
chr1_hap1	2200000	2250000	
chr1_hap1	2250000	2300000	
chr1_hap1	2300000	2350000	
chr1_hap1	2350000	2400000	
chr1_hap1	2400000	2450000	
chr1_hap1	2450000	2500000	
chr1_hap1	2500000	2550000	0.137968
chr1_hap1	2550000	2600000	0.0919044
chr1_hap1	2600000	2650000	0.103325
chr1_hap1	2650000	2700000	0.270764
chr1_hap1	2700000	2750000	0.112972
chr1_hap1	2750000	2800000	0.115152
chr1_hap1	2800000	2850000	0.0796511
chr1_hap1	2850000	2900000	0.0958883
chr1_hap1	2900000	2950000	0.062114
chr1_hap1	2950000	3000000	0.085699
chr1_hap1	3000000	3050000	0.12533
chr1_hap1	3050000	3100000	0.097573
chr1_hap1	3100000	3150000	0.245729
chr1_hap1	3150000	3200000	0.144241
chr1_hap1	3200000	3250000	0.397808
chr1_hap1	3250000	3300000	
chr1_hap1	3300000	3350000	
chr1_hap1	3350000	3400000	
chr1_hap1	3400000	3450000	0.0854607
chr1_hap1	3450000	3500000	0.0743203
chr1_hap1	3500000	3550000	0.0507382
chr1_hap1	3550000	3600000	0.172047
chr1_hap1	3600000	3650000	0.0711639
chr1_hap1	3650000	3700000	0.0563022
chr1_hap1	3700000	3750000	0.158901
chr1_hap1	3750000	3800000	0.0628466
chr1_hap1	3800000	3850000	0.0876476
chr1_hap1	3850000	3900000	0.342708
chr1_hap1	3900000	3950000	0.0965365
chr1_hap1	3950000	4000000	0.125358
chr1_hap1	4000000	4050000	0.0957748
chr1_hap1	4050000	4100000	0.079999
chr1_hap1	4100000	4150000	0.0790395
chr1_hap1	4150000	4200000	0.120259
chr1_hap1	4200000	4250000	0.0638663
chr1_hap1	4250000	4300000	0.0673902
chr1_hap1	4300000	4350000	0.64526
chr1_hap1	4350000	4400000	0.164556
chr1_hap1	4400000	4450000	0.0770447
chr1_hap1	4450000	4500000	0.188002
chr1_hap1	4500000	4550000	0.0866327
chr1_hap1	4550000	4600000	
chr1_hap1	4600000	4650000	0.0952903
chr1_hap1	4650000	4700000	0.0973285
chr1_hap1	4700000	4750000	0.173901
chr1_hap1	4750000	4800000	0.0936262
chr1_hap1	4800000	4850000	0.153581
chr1_hap1	4850000	4900000	0.133001
chr1_hap1	4900000	4950000	0.0474931
chr1_hap1	4950000	5000000	0.0816913
chr1_hap1	5000000	5050000	0.235077
chr1_hap1	5050000	5100000	0.143791
chr1_hap1	5100000	5150000	
chr1_hap1	5150000	5200000	0.0994076
chr1_hap1	5200000	5250000	0.150142
chr1_hap1	5250000	5300000	0.0798835
chr1_hap1	5300000	5350000	0.0750494
chr1_hap1	5350000	5400000	0.101121
chr1_hap1	5400000	5450000	0.113414
chr1_hap1	5450000	5500000	0.092357
chr1_hap1	5500000	5550000	0.154535
chr1_hap1	5550000	5600000	0.623377
chr1_hap1	5600000	5650000	0.273373
chr1_hap1	5650000	5700000	0.173603
chr1_hap1	5700000	5750000	0.186813
chr1_hap1	5750000	5800000	0.116015
chr1_hap1	5800000	5850000	
chr1_hap1	5850000	5900000	0.305036
chr1_hap1	5900000	5950000	0.136274
chr1_hap1	5950000	6000000	0.12964
chr1_hap1	6000000	6050000	0.116302
chr1_hap1	6050000	6100000	0.0751201
chr1_hap1	6100000	6150000	0.0864713
chr1_hap1	6150000	6200000	
chr1_hap1	6200000	6250000	
chr1_hap1	6250000	6300000	
chr1_hap1	6300000	6350000	
chr1_hap1	6350000	6400000	
chr1_hap1	6400000	6450000	0.136582
chr1_hap1	6450000	6500000	0.492518
chr1_hap1	6500000	6550000	
chr1_hap1	6550000	6600000	
chr1_hap1	6600000	6650000	
chr1_hap1	6650000	6700000	
chr1_hap1	6700000	6750000	
chr1_hap1	6750000	6800000	0.121887
chr1_hap1	6800000	6850000	0.137556
chr1_hap1	6850000	6900000	0.232715
chr1_hap1	6900000	6950000	0.0872964
chr1_hap1	6950000	7000000	0.115282
chr1_hap1	7000000	7050000	0.224503
chr1_hap1	7050000	7100000	0.263862
chr1_hap1	7100000	7150000	0.0841098
chr1_hap1	7150000	7200000	0.0981508
chr1_hap1	7200000	7250000	0.197151
chr1_hap1	7250000	7300000	0.853305
chr1_hap1	7300000	7350000	
chr1_hap1	7350000	7400000	0.641297
chr1_hap1	7400000	7450000	0.13196
chr1_hap1	7450000	7500000	
chr1_hap1	7500000	7550000	0.0793235
chr1_hap1	7550000	7600000	0.0624785
chr1_hap1	7600000	7650000	0.220864
chr1_hap1	7650000	7700000	0.128059
chr1_hap1	7700000	7750000	0.105823
chr1_hap1	7750000	7800000	0.0942375
chr1_hap1	7800000	7850000	0.144435
chr1_hap1	7850000	7900000	0.0847973
chr1_hap1	7900000	7950000	0.0990635
chr1_hap1	7950000	8000000	0.11556
chr1_hap1	8000000	8050000	0.108076
chr1_hap1	8050000	8100000	0.136319
chr1_hap1	8100000	8150000	0.242064
chr1_hap1	8150000	8200000	0.246904
chr1_hap1	8200000	8250000	0.349976
chr1_hap1	8250000	8300000	0.364394
chr1_hap1	8300000	8350000	0.932987
chr1_hap1	8350000	8400000	0.560189
chr1_hap1	8400000	8450000	0.402885
chr1_hap1	8450000	8500000	1.30718
chr1_hap1	8500000	8550000	0.125196
chr1_hap1	8550000	8600000	0.0612367
chr1_hap1	8600000	8650000	0.0896256
chr1_hap1	8650000	8700000	0.165598
chr1_hap1	8700000	8750000	
chr1_hap1	8750000	8800000	0.29109
chr1_hap1	8800000	8850000	
chr1_hap1	8850000	8900000	0.160236
chr1_hap1	8900000	8950000	0.120806
chr1_hap1	8950000	9000000	0.129834
chr1_hap1	9000000	9050000	0.0910074
chr1_hap1	9050000	9100000	0.157058
chr1_hap1	9100000	9150000	0.261834
chr1_hap1	9150000	9200000	0.508254
chr1_hap1	9200000	9250000	0.516048
chr1_hap1	9250000	9300000	
chr1_hap1	9300000	9350000	
chr1_hap1	9350000	9400000	0.3553
chr1_hap1	9400000	9450000	0.434028
chr1_hap1	9450000	9500000	0.444787
chr1_hap1	9500000	9550000	0.934459
chr1_hap1	9550000	9600000	
chr1_hap1	9600000	9650000	0.0942447
chr1_hap1	9650000	9700000	0.0956595
chr1_hap1	9700000	9750000	0.339699
chr1_hap1	9750000	9800000	0.666461
chr1_hap1	9800000	9850000	0.263816
chr1_hap1	9850000	9900000	0.0846341
chr1_hap1	9900000	9950000	0.0693548
chr1_hap1	9950000	10000000	0.068871
chr1_hap1	10000000	10050000	0.0999691
chr1_hap1	10050000	10100000	0.0907819
chr1_hap1	10100000	10150000	0.0791307
chr1_hap1	10150000	10200000	0.131831
chr1_hap1	10200000	10250000	0.0779963
chr1_hap1	10250000	10300000	0.185053
chr1_hap1	10300000	10350000	0.751449
chr1_hap1	10350000	10400000	0.16938
chr1_hap1	10400000	10450000	0.359413
chr1_hap1	10450000	10500000	
chr1_hap1	10500000	10550000	0.0704465
chr1_hap1	10550000	10600000	0.119167
chr1_hap1	10600000	10650000	0.148988
