track	chrom	spearman_rho	spearman_p	pearson_r	pearson_p
gc	chr10_hap2	-0.7839511926263423	3.586965083678396e-133	-0.741532562639323	8.159750866055693e-112
gc	chr11_hap2	-0.8411703545977615	3.7409670252157616e-171	-0.8247178579613584	7.867913016870294e-159
gc	chr12_hap2	-0.8578995027735166	4.1125953268301614e-188	-0.8396235988593277	1.3687475126284672e-172
gc	chr13_hap2	-0.7635236781573008	1.099353483837722e-91	-0.7939866721415905	4.415901344944126e-104
gc	chr14_hap2	-0.7646631577990198	1.0691837701068443e-83	-0.7034410451836508	1.877049864375455e-65
gc	chr15_hap2	-0.7048357135122169	8.803228596910476e-59	-0.6712062168673492	1.7544167944093535e-51
gc	chr16_hap2	-0.797009673236271	2.1142301026584515e-80	-0.7472669269369163	1.618413688353206e-65
gc	chr17_hap2	-0.7131390738428821	8.125642038887263e-60	-0.7141185530227376	4.756578307925559e-60
gc	chr18_hap2	-0.8119488171331785	1.3899254916398066e-87	-0.7773618162580465	1.1174447641210583e-75
gc	chr19_hap2	-0.7457386713571038	1.3838121663898874e-47	-0.6880885443541744	6.027445740866485e-38
gc	chr1_hap2	-0.8004295788153897	3.52185814383297e-243	-0.7642834052807574	9.468860518625608e-209
gc	chr20_hap2	-0.8023444303841011	2.083251594873817e-67	-0.7672960273786872	2.775878202491452e-58
gc	chr21_hap2	-0.48006643727408793	7.786247022147145e-11	-0.3559894310268483	2.8940765026599793e-06
gc	chr22_hap2	-0.5645668113122848	3.450445152624933e-15	-0.5119690823707336	2.4395833162892517e-12
gc	chr2_hap2	-0.7612371622861761	1.2433235863639224e-220	-0.7297516006963621	6.222817661711223e-194
gc	chr3_hap2	-0.7503945281124363	8.748871216845786e-177	-0.7620396929007999	1.817525009960775e-185
gc	chr4_hap2	-0.7798893612328415	1.2088224862630153e-191	-0.7614127034720117	1.8991999332815608e-177
gc	chr5_hap2	-0.7593215775467151	3.761134063973509e-164	-0.7485717882710021	4.5944596236671156e-157
gc	chr6_hap2	-0.7723773815917466	9.171405227461167e-167	-0.7522735859239125	1.7841654676755277e-153
gc	chr7_hap2	-0.868338100986288	4.3943371619233874e-229	-0.8363663435875498	1.0851133912586798e-196
gc	chr8_hap2	-0.8376974676834192	5.220222889944897e-185	-0.780366090908	4.7469200010778987e-144
gc	chr9_hap2	-0.7986710047024767	3.3450043203460053e-121	-0.7680968029895618	1.2853464972065662e-106
gc	chrX_hap2	0.09629483680687324	0.009136263443236224	0.05512186083498702	0.13624169255629562
