track	chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta	flip_recommended
coding_cov	chr10_hap2	-0.18966667694905717	1.0197254381687072e-11	-0.2019621936535806	4.053293102605499e-13	-0.7440150000000001	True
coding_cov	chr11_hap2	-0.22649591511296663	3.164714682526067e-16	-0.2517960160627514	8.388695453812365e-20	-0.69336	True
coding_cov	chr12_hap2	-0.19476254675237042	1.712465566514247e-12	-0.23455071157201007	1.3963337002104834e-17	-0.74961	True
coding_cov	chr13_hap2	-0.342966515887955	1.5717288091596074e-27	-0.29881208888183247	5.515103939765956e-21	-0.53711	True
coding_cov	chr14_hap2	-0.3473787225380889	1.0373490726498013e-25	-0.353756610754399	1.1523728594660988e-26	-0.724275	True
coding_cov	chr15_hap2	-0.2968817658293066	4.9554232651932664e-17	-0.3901077228909704	3.260621286120112e-29	-0.83848	True
coding_cov	chr16_hap2	-0.32034471227384026	1.2060915071032487e-18	-0.40804502090619466	2.917583225140245e-30	-0.8395900000000001	True
coding_cov	chr17_hap2	-0.2763540306575548	1.059175716357266e-14	-0.3784185783987346	4.083637397757824e-27	-0.78066	True
coding_cov	chr18_hap2	-0.3936799699181848	1.1666630933327705e-28	-0.3717541606627357	1.6658632141309507e-25	-0.67593	True
coding_cov	chr19_hap2	-0.3000491878633461	2.6698567852166417e-12	-0.3032122316187589	1.5329891363437005e-12	-0.24244	True
coding_cov	chr1_hap2	-0.21697853403542766	2.0281288889065154e-24	-0.2465862967232033	2.865108844218472e-31	-0.7112799999999999	True
coding_cov	chr20_hap2	-0.20277969874550036	6.808517937552219e-07	-0.19687362387264856	1.441749058621986e-06	-0.37573999999999996	True
coding_cov	chr21_hap2	-0.35757396415347165	2.504071989555774e-11	-0.19941948506362678	0.0002786028087745418	-0.72367	True
coding_cov	chr22_hap2	-0.19490035967056718	0.00039265942580023845	-0.3202075660590605	3.124698485608166e-09	-0.50919	True
coding_cov	chr2_hap2	-0.28339307206910613	4.037571890548823e-44	-0.2851893629970482	1.1062968785587714e-44	-0.7155	True
coding_cov	chr3_hap2	-0.26234956246056024	5.811240631421075e-32	-0.29773810834422565	4.3343033819277354e-41	-0.80806	True
coding_cov	chr4_hap2	-0.41789470575679294	1.1008276066775806e-79	-0.38153348116631935	1.1908456003577068e-65	-0.75011	True
coding_cov	chr5_hap2	-0.32075624165994043	6.2910755378211035e-43	-0.2963036885426904	1.3413286366656273e-36	-0.6510199999999999	True
coding_cov	chr6_hap2	-0.2785797908624296	4.5033100086199255e-31	-0.2518900382833243	1.5871936518400571e-25	-0.5776300000000001	True
coding_cov	chr7_hap2	-0.10668032238547465	3.709727692528218e-05	-0.12162414599512104	2.517335405095631e-06	-0.65063	True
coding_cov	chr8_hap2	-0.24301056261336068	3.47197073577617e-20	-0.24516106709477023	1.5827293389711752e-20	-0.78006	True
coding_cov	chr9_hap2	-0.360490974879955	1.2222784025775535e-34	-0.35664468346250044	6.857201749705148e-34	-0.71875	True
coding_cov	chrX_hap2	0.03691170532809598	0.15806786410995144	-0.0021382446964334917	0.9348500733625176	0.05314	False
