chrom	start	end	value.d
chr1_hap2	0	5000	-1
chr1_hap2	5000	10000	-1
chr1_hap2	10000	15000	-1
chr1_hap2	15000	20000	-1
chr1_hap2	20000	25000	-1
chr1_hap2	25000	30000	-1
chr1_hap2	30000	35000	-1
chr1_hap2	35000	40000	-1
chr1_hap2	40000	45000	-1
chr1_hap2	45000	50000	-1
chr1_hap2	50000	55000	-1
chr1_hap2	55000	60000	-1
chr1_hap2	60000	65000	31
chr1_hap2	65000	70000	33
chr1_hap2	70000	75000	26
chr1_hap2	75000	80000	-1
chr1_hap2	80000	85000	-1
chr1_hap2	85000	90000	-1
chr1_hap2	90000	95000	-1
chr1_hap2	95000	100000	-1
chr1_hap2	100000	105000	-1
chr1_hap2	105000	110000	-1
chr1_hap2	110000	115000	-1
chr1_hap2	115000	120000	-1
chr1_hap2	120000	125000	-1
chr1_hap2	125000	130000	-1
chr1_hap2	130000	135000	-1
chr1_hap2	135000	140000	-1
chr1_hap2	140000	145000	-1
chr1_hap2	145000	150000	-1
chr1_hap2	150000	155000	-1
chr1_hap2	155000	160000	-1
chr1_hap2	160000	165000	-1
chr1_hap2	165000	170000	-1
chr1_hap2	170000	175000	-1
chr1_hap2	175000	180000	-1
chr1_hap2	180000	185000	-1
chr1_hap2	185000	190000	-1
chr1_hap2	190000	195000	-1
chr1_hap2	195000	200000	-1
chr1_hap2	200000	205000	-1
chr1_hap2	205000	210000	-1
chr1_hap2	210000	215000	2
chr1_hap2	215000	220000	-1
chr1_hap2	220000	225000	2
chr1_hap2	225000	230000	0
chr1_hap2	230000	235000	-1
chr1_hap2	235000	240000	-1
chr1_hap2	240000	245000	-1
chr1_hap2	245000	250000	-1
chr1_hap2	250000	255000	-1
chr1_hap2	255000	260000	1
chr1_hap2	260000	265000	0
chr1_hap2	265000	270000	5
chr1_hap2	270000	275000	6
chr1_hap2	275000	280000	1
chr1_hap2	280000	285000	0
chr1_hap2	285000	290000	5
chr1_hap2	290000	295000	1
chr1_hap2	295000	300000	1
chr1_hap2	300000	305000	2
chr1_hap2	305000	310000	9
chr1_hap2	310000	315000	1
chr1_hap2	315000	320000	-1
chr1_hap2	320000	325000	1
chr1_hap2	325000	330000	3
chr1_hap2	330000	335000	1
chr1_hap2	335000	340000	0
chr1_hap2	340000	345000	1
chr1_hap2	345000	350000	0
chr1_hap2	350000	355000	2
chr1_hap2	355000	360000	0
chr1_hap2	360000	365000	0
chr1_hap2	365000	370000	0
chr1_hap2	370000	375000	1
chr1_hap2	375000	380000	2
chr1_hap2	380000	385000	1
chr1_hap2	385000	390000	1
chr1_hap2	390000	395000	1
chr1_hap2	395000	400000	1
chr1_hap2	400000	405000	2
chr1_hap2	405000	410000	5
chr1_hap2	410000	415000	5
chr1_hap2	415000	420000	-1
chr1_hap2	420000	425000	3
chr1_hap2	425000	430000	0
chr1_hap2	430000	435000	3
chr1_hap2	435000	440000	3
chr1_hap2	440000	445000	3
chr1_hap2	445000	450000	0
chr1_hap2	450000	455000	0
chr1_hap2	455000	460000	7
chr1_hap2	460000	465000	2
chr1_hap2	465000	470000	1
chr1_hap2	470000	475000	0
chr1_hap2	475000	480000	0
chr1_hap2	480000	485000	2
chr1_hap2	485000	490000	5
chr1_hap2	490000	495000	4
chr1_hap2	495000	500000	1
chr1_hap2	500000	505000	5
chr1_hap2	505000	510000	8
chr1_hap2	510000	515000	0
chr1_hap2	515000	520000	11
chr1_hap2	520000	525000	1
chr1_hap2	525000	530000	2
chr1_hap2	530000	535000	7
chr1_hap2	535000	540000	1
chr1_hap2	540000	545000	3
chr1_hap2	545000	550000	2
chr1_hap2	550000	555000	1
chr1_hap2	555000	560000	0
chr1_hap2	560000	565000	5
chr1_hap2	565000	570000	4
chr1_hap2	570000	575000	5
chr1_hap2	575000	580000	1
chr1_hap2	580000	585000	2
chr1_hap2	585000	590000	3
chr1_hap2	590000	595000	5
chr1_hap2	595000	600000	0
chr1_hap2	600000	605000	0
chr1_hap2	605000	610000	2
chr1_hap2	610000	615000	3
chr1_hap2	615000	620000	0
chr1_hap2	620000	625000	3
