section	dataset	key	value
per_telomere	HiFi	chr1_p_hap1_telo_length_kbp	4.535
per_telomere	HiFi	chr1_p_hap1_correct_kbp	4.512
per_telomere	HiFi	chr1_p_hap1_correct_frac	0.9949
per_telomere	HiFi	chr1_p_hap1_misjoin_kbp	0.023
per_telomere	HiFi	chr1_p_hap1_misjoin_frac	0.0051
per_telomere	HiFi	chr1_p_hap2_telo_length_kbp	9.286
per_telomere	HiFi	chr1_p_hap2_correct_kbp	2.377
per_telomere	HiFi	chr1_p_hap2_correct_frac	0.2560
per_telomere	HiFi	chr1_p_hap2_het_or_mismap_kbp	5.794
per_telomere	HiFi	chr1_p_hap2_het_or_mismap_frac	0.6240
per_telomere	HiFi	chr1_p_hap2_softclip_kbp	1.115
per_telomere	HiFi	chr1_p_hap2_softclip_frac	0.1201
per_telomere	HiFi	chr1_q_hap1_telo_length_kbp	5.545
per_telomere	HiFi	chr1_q_hap1_correct_kbp	5.545
per_telomere	HiFi	chr1_q_hap1_correct_frac	1.0000
per_telomere	HiFi	chr1_q_hap2_telo_length_kbp	5.011
per_telomere	HiFi	chr1_q_hap2_correct_kbp	5.011
per_telomere	HiFi	chr1_q_hap2_correct_frac	1.0000
per_telomere	HiFi	chr10_p_hap1_telo_length_kbp	9.652
per_telomere	HiFi	chr10_p_hap1_correct_kbp	5.064
per_telomere	HiFi	chr10_p_hap1_correct_frac	0.5247
per_telomere	HiFi	chr10_p_hap1_misjoin_kbp	0.004
per_telomere	HiFi	chr10_p_hap1_misjoin_frac	0.0004
per_telomere	HiFi	chr10_p_hap1_mismatch_kbp	0.725
per_telomere	HiFi	chr10_p_hap1_mismatch_frac	0.0751
per_telomere	HiFi	chr10_p_hap1_simple_repeat_kbp	3.859
per_telomere	HiFi	chr10_p_hap1_simple_repeat_frac	0.3998
per_telomere	HiFi	chr10_p_hap2_telo_length_kbp	4.392
per_telomere	HiFi	chr10_p_hap2_correct_kbp	4.389
per_telomere	HiFi	chr10_p_hap2_correct_frac	0.9993
per_telomere	HiFi	chr10_p_hap2_insertion_kbp	0.001
per_telomere	HiFi	chr10_p_hap2_insertion_frac	0.0002
per_telomere	HiFi	chr10_p_hap2_homopolymer_kbp	0.002
per_telomere	HiFi	chr10_p_hap2_homopolymer_frac	0.0005
per_telomere	HiFi	chr10_q_hap1_telo_length_kbp	11.130
per_telomere	HiFi	chr10_q_hap1_correct_kbp	6.669
per_telomere	HiFi	chr10_q_hap1_correct_frac	0.5992
per_telomere	HiFi	chr10_q_hap1_misjoin_kbp	0.002
per_telomere	HiFi	chr10_q_hap1_misjoin_frac	0.0002
