telo_id	chr_display	arm	hap	total_length_bp	chr_type	Both Correct	Both Error / Unsupported	HiFi Rescued	ONT Rescued	Uncovered	Both Correct_pct	HiFi Rescued_pct	ONT Rescued_pct	Both Error / Unsupported_pct	Uncovered_pct
chr18_p_hap1	chr18	p	hap1	1570	submetacentric	1570	0	0	0	0	100.0	0.0	0.0	0.0	0.0
chr12_q_hap2	chr12	q	hap2	4481	submetacentric	4479	0	0	2	0	99.95536710555679	0.0	0.04463289444320464	0.0	0.0
chr3_q_hap1	chr3	q	hap1	4361	metacentric	4358	0	3	0	0	99.93120843843155	0.06879156156844761	0.0	0.0	0.0
chr20_p_hap1	chr20	p	hap1	1100	metacentric	1099	0	1	0	0	99.90909090909092	0.09090909090909091	0.0	0.0	0.0
chr10_p_hap2	chr10	p	hap2	4392	submetacentric	4387	0	2	3	0	99.88615664845173	0.04553734061930783	0.06830601092896176	0.0	0.0
chr20_q_hap2	chr20	q	hap2	5930	metacentric	5922	0	1	7	0	99.86509274873524	0.016863406408094434	0.11804384485666106	0.0	0.0
chr8_q_hap1	chr8	q	hap1	4110	submetacentric	4102	0	3	5	0	99.80535279805352	0.072992700729927	0.12165450121654502	0.0	0.0
chr20_p_hap2	chr20	p	hap2	4496	metacentric	4481	2	1	12	0	99.66637010676158	0.022241992882562275	0.26690391459074736	0.04448398576512455	0.0
chr1_p_hap1	chr1	p	hap1	4535	metacentric	4511	22	1	1	0	99.47078280044101	0.02205071664829107	0.02205071664829107	0.48511576626240355	0.0
chr18_p_hap2	chr18	p	hap2	6053	submetacentric	5871	45	135	2	0	96.99322649925656	2.230299025276722	0.03304146704113663	0.743433008425574	0.0
chr3_q_hap2	chr3	q	hap2	2127	metacentric	2045	0	82	0	0	96.14480488951574	3.8551951104842503	0.0	0.0	0.0
chr17_q_hap2	chr17	q	hap2	7037	submetacentric	6758	0	279	0	0	96.0352422907489	3.9647577092511015	0.0	0.0	0.0
chr9_q_hap1	chr9	q	hap1	5938	submetacentric	5639	10	272	17	0	94.96463455708994	4.5806668912091615	0.2862916807005726	0.1684068710003368	0.0
chr3_p_hap2	chr3	p	hap2	2869	metacentric	2666	0	203	0	0	92.92436388985709	7.075636110142907	0.0	0.0	0.0
chr7_p_hap1	chr7	p	hap1	6013	submetacentric	5411	0	601	1	0	89.988358556461	9.995010809911857	0.016630633627141192	0.0	0.0
chr11_p_hap1	chr11	p	hap1	4368	submetacentric	3633	0	735	0	0	83.17307692307693	16.826923076923077	0.0	0.0	0.0
chr17_q_hap1	chr17	q	hap1	5670	submetacentric	4565	0	116	989	0	80.51146384479718	2.0458553791887124	17.44268077601411	0.0	0.0
chr19_p_hap1	chr19	p	hap1	4772	metacentric	3806	260	533	173	0	79.7569153394803	11.169321039396479	3.6253143336127414	5.448449287510478	0.0
chr17_p_hap1	chr17	p	hap1	4853	submetacentric	3783	0	1063	7	0	77.95178240263755	21.90397692149186	0.1442406758705955	0.0	0.0
chr18_q_hap2	chr18	q	hap2	2796	submetacentric	2054	2	740	0	0	73.4620886981402	26.46638054363376	0.0	0.07153075822603719	0.0
chrX_p_hap2	chrX	p	hap2	4704	submetacentric	3359	117	0	1228	0	71.40731292517006	0.0	26.105442176870746	2.4872448979591835	0.0
chr8_p_hap1	chr8	p	hap1	1029	submetacentric	697	12	146	174	0	67.73566569484937	14.188532555879494	16.909620991253643	1.1661807580174928	0.0
chr12_p_hap2	chr12	p	hap2	3991	submetacentric	2512	0	678	801	0	62.94161864194437	16.988223502881482	20.07015785517414	0.0	0.0
chr10_q_hap1	chr10	q	hap1	11130	submetacentric	6669	157	0	4304	0	59.91913746630728	0.0	38.67026055705301	1.4106019766397127	0.0
chr5_q_hap1	chr5	q	hap1	11348	submetacentric	6651	1	0	4696	0	58.60944659851957	0.0	41.38174127599577	0.008812125484666901	0.0
chr5_p_hap2	chr5	p	hap2	10352	submetacentric	5651	1	0	4700	0	54.58848531684699	0.0	45.40185471406492	0.009659969088098918	0.0
chr11_q_hap2	chr11	q	hap2	1862	submetacentric	1002	29	830	1	0	53.81310418904404	44.575725026852844	0.05370569280343716	1.5574650912996777	0.0
chr21_q_hap1	chr21	q	hap1	9939	acrocentric	5313	14	0	4612	0	53.456082100814974	0.0	46.40305865781266	0.14085924137237146	0.0
chr10_p_hap1	chr10	p	hap1	9652	submetacentric	5064	13	0	4575	0	52.465810194778285	0.0	47.39950269374223	0.13468711147948612	0.0
chr16_p_hap2	chr16	p	hap2	4599	metacentric	2348	8	2222	21	0	51.05457708197434	48.314851054577076	0.45662100456621	0.17395085888236572	0.0
chr16_q_hap1	chr16	q	hap1	10992	metacentric	5424	14	0	5554	0	49.34497816593886	0.0	50.52765647743813	0.12736535662299855	0.0
chr5_q_hap2	chr5	q	hap2	9167	submetacentric	4514	1	0	4652	0	49.24184575106359	0.0	50.7472455547071	0.010908694229300754	0.0
chr7_p_hap2	chr7	p	hap2	5588	submetacentric	2640	1711	0	1237	0	47.24409448818898	0.0	22.136721546170364	30.619183965640655	0.0
chr5_p_hap1	chr5	p	hap1	11210	submetacentric	5257	240	0	5713	0	46.89562890276539	0.0	50.963425512934876	2.140945584299732	0.0
chr8_q_hap2	chr8	q	hap2	6442	submetacentric	2973	1	3468	0	0	46.15026389320087	53.83421297733623	0.0	0.01552312946289972	0.0
chr7_q_hap1	chr7	q	hap1	4045	submetacentric	1831	27	2187	0	0	45.26576019777503	54.06674907292954	0.0	0.6674907292954265	0.0
chr15_p_hap2	chr15	p	hap2	12010	acrocentric	5315	1037	463	5195	0	44.254787676935884	3.8551207327227313	43.255620316403	8.634471273938384	0.0
chr11_q_hap1	chr11	q	hap1	6055	submetacentric	2554	0	2493	1008	0	42.180016515276634	41.17258464079273	16.647398843930635	0.0	0.0
chr19_q_hap1	chr19	q	hap1	5335	metacentric	2217	2	3115	1	0	41.55576382380506	58.38800374882849	0.018744142455482664	0.03748828491096533	0.0
