chrom	start	end	name	eigval1	eigval2	eigval3
chr1_hap1	0	250382078	chr1_hap1	-8134.739315856024	14.469910868753221	14.418693260592411
chr2_hap1	0	242438398	chr2_hap1	-8990.282553555644	17.240430419199555	15.073001511560932
chr3_hap1	0	200940782	chr3_hap1	-7377.29559927689	58.33095781188417	55.32096591735446
chr4_hap1	0	193253728	chr4_hap1	-7316.93827178799	77.74051397537706	65.11935138301646
chr5_hap1	0	186212366	chr5_hap1	-6957.545280963858	68.75599388518228	53.16323531791212
chr6_hap1	0	173051588	chr6_hap1	-7179.864518491571	80.34155375690823	72.84737310642366
chr7_hap1	0	161716607	chr7_hap1	-6315.413213652497	104.27048906413927	97.13926073706757
chr8_hap1	0	145465483	chr8_hap1	-5234.299750921728	155.87571289926692	125.27846257691415
chr9_hap1	0	135918162	chr9_hap1	-5917.388302944113	450.4401878466091	-216.25822253244735
chr10_hap1	0	134385439	chr10_hap1	-5558.5684298192855	113.56081007823107	110.47782803622782
chr11_hap1	0	133922055	chr11_hap1	-5635.467584691439	118.9945578426233	108.21534749809813
chr12_hap1	0	133376810	chr12_hap1	-5212.863644161164	100.13090604686094	93.09415270613921
chr13_hap1	0	107377685	chr13_hap1	-3956.918370119772	178.73944117910273	165.4234902753496
chr14_hap1	0	102710047	chr14_hap1	-4215.20126654996	274.723388451597	155.83206346893607
chr15_hap1	0	96346030	chr15_hap1	-3471.0085961870404	153.3630066629019	144.06365716711923
chr16_hap1	0	96215701	chr16_hap1	-3424.4881668249154	242.78864561262571	206.99140309208434
chr17_hap1	0	86176721	chr17_hap1	-3367.8209503226763	147.32682262767682	140.72132836003817
chr18_hap1	0	77553665	chr18_hap1	-2655.89546181553	245.20034754407604	-227.75970085038716
chr19_hap1	0	69461520	chr19_hap1	-2902.3212148608445	444.5334110763432	429.21464037215003
chr20_hap1	0	66775821	chr20_hap1	-2542.8206688646815	309.28182985729967	208.05023235892463
chr21_hap1	0	44404722	chr21_hap1	-1585.9117984061154	449.13160657993456	-429.5784255182725
chr22_hap1	0	47079544	chr22_hap1	-1617.7169599168396	412.92058349830756	396.11873550715285
chrX_hap1	0	155153153	chrX_hap1	-1599.9772084328745	129.8806017008458	120.24752846682676
chr1_hap2	0	243198671	chr1_hap2	-8093.791746024915	13.977348193853686	13.731737564558998
chr2_hap2	0	242142825	chr2_hap2	-8978.318121440841	17.843522655214915	13.409582039733245
chr3_hap2	0	202683022	chr3_hap2	-7459.696508738144	61.98832909392449	56.10241115249753
chr4_hap2	0	191171759	chr4_hap2	-7672.279649922453	61.95238421486296	58.16864567881581
chr5_hap2	0	182409348	chr5_hap2	-6939.490457773497	52.972908473926836	49.96945672815817
chr6_hap2	0	172871300	chr6_hap2	-7102.843509085397	75.65131989254624	68.40492828910851
chr7_hap2	0	161232845	chr7_hap2	-6259.884542792102	101.02705767546178	93.04573616756875
chr8_hap2	0	145868755	chr8_hap2	-5305.687388532309	163.93461043402198	128.75514787048283
chr9_hap2	0	135032811	chr9_hap2	-6066.162717491311	315.85478798682595	175.20791307621988
chr10_hap2	0	135648429	chr10_hap2	-5953.163285795655	110.48967565409843	107.72876047827785
chr11_hap2	0	136138868	chr11_hap2	-5717.88488683794	111.15693912193646	102.26043861487828
chr12_hap2	0	134127282	chr12_hap2	-5568.7074870459155	93.6393718290865	86.80611327173929
chr13_hap2	0	112572639	chr13_hap2	-3776.0260944241963	173.86162866761526	158.1377726504408
chr14_hap2	0	101767573	chr14_hap2	-4102.817651380313	361.7537282416174	186.11556014072528
chr15_hap2	0	96851046	chr15_hap2	-3670.313141602669	142.63547849483047	135.86678519914963
chr16_hap2	0	87971686	chr16_hap2	-3660.264436291073	252.94548866634705	208.4636626664178
chr17_hap2	0	83829559	chr17_hap2	-3385.256607516975	143.4946947288358	126.06090039464573
chr18_hap2	0	80564282	chr18_hap2	-2713.1713811044897	230.77141714446245	216.22633980808408
chr19_hap2	0	61548830	chr19_hap2	-2851.7795185478735	455.7642857718326	440.31692749477395
chr20_hap2	0	65603693	chr20_hap2	-2447.0581409679667	233.23616399440607	224.6818848313222
chr21_hap2	0	42759301	chr21_hap2	-1295.666408156676	550.6985279027293	-533.4626155485423
chr22_hap2	0	48623973	chr22_hap2	-2147.324909773894	610.2800155005821	-387.46516228092366
chrX_hap2	0	153704768	chrX_hap2	-2548.5346178216787	92.09392935947754	85.76153031582987
