chrom	start	end	weight
chr1_hap1	0	200000	0.184143
chr1_hap1	200000	400000	0.0740663
chr1_hap1	400000	600000	0.0558059
chr1_hap1	600000	800000	0.0388169
chr1_hap1	800000	1000000	0.039519
chr1_hap1	1000000	1200000	0.051144
chr1_hap1	1200000	1400000	0.0551418
chr1_hap1	1400000	1600000	0.473779
chr1_hap1	1600000	1800000	0.289527
chr1_hap1	1800000	2000000	0.0943372
chr1_hap1	2000000	2200000	
chr1_hap1	2200000	2400000	
chr1_hap1	2400000	2600000	0.109143
chr1_hap1	2600000	2800000	0.0690419
chr1_hap1	2800000	3000000	0.0425058
chr1_hap1	3000000	3200000	0.0571117
chr1_hap1	3200000	3400000	0.441882
chr1_hap1	3400000	3600000	0.0362106
chr1_hap1	3600000	3800000	0.0366607
chr1_hap1	3800000	4000000	0.0634409
chr1_hap1	4000000	4200000	0.0495537
chr1_hap1	4200000	4400000	0.0606308
chr1_hap1	4400000	4600000	0.065559
chr1_hap1	4600000	4800000	0.0613558
chr1_hap1	4800000	5000000	0.045936
chr1_hap1	5000000	5200000	0.0993053
chr1_hap1	5200000	5400000	0.0506403
chr1_hap1	5400000	5600000	0.0702166
chr1_hap1	5600000	5800000	0.081874
chr1_hap1	5800000	6000000	0.117634
chr1_hap1	6000000	6200000	0.0506488
chr1_hap1	6200000	6400000	1.06963
chr1_hap1	6400000	6600000	0.150429
chr1_hap1	6600000	6800000	0.202478
chr1_hap1	6800000	7000000	0.0598613
chr1_hap1	7000000	7200000	0.0651646
chr1_hap1	7200000	7400000	0.192325
chr1_hap1	7400000	7600000	0.0580278
chr1_hap1	7600000	7800000	0.0545196
chr1_hap1	7800000	8000000	0.0561315
chr1_hap1	8000000	8200000	0.0896009
chr1_hap1	8200000	8400000	0.250662
chr1_hap1	8400000	8600000	0.0716522
chr1_hap1	8600000	8800000	0.101412
chr1_hap1	8800000	9000000	0.0833514
chr1_hap1	9000000	9200000	0.0835117
chr1_hap1	9200000	9400000	0.318636
chr1_hap1	9400000	9600000	0.265277
chr1_hap1	9600000	9800000	0.0752764
chr1_hap1	9800000	10000000	0.0483339
chr1_hap1	10000000	10200000	0.0423221
chr1_hap1	10200000	10400000	0.0794637
chr1_hap1	10400000	10600000	0.0788143
chr1_hap1	10600000	10800000	0.154313
chr1_hap1	10800000	11000000	0.907671
chr1_hap1	11000000	11200000	0.0788015
chr1_hap1	11200000	11400000	0.0446782
chr1_hap1	11400000	11600000	0.0619536
chr1_hap1	11600000	11800000	0.0970815
chr1_hap1	11800000	12000000	0.0937419
chr1_hap1	12000000	12200000	0.482463
chr1_hap1	12200000	12400000	0.058178
chr1_hap1	12400000	12600000	0.0682472
chr1_hap1	12600000	12800000	0.157083
chr1_hap1	12800000	13000000	0.0550843
chr1_hap1	13000000	13200000	0.0725515
chr1_hap1	13200000	13400000	0.0675647
chr1_hap1	13400000	13600000	0.0767991
chr1_hap1	13600000	13800000	0.0506855
chr1_hap1	13800000	14000000	0.0935909
chr1_hap1	14000000	14200000	0.0814543
chr1_hap1	14200000	14400000	0.159507
chr1_hap1	14400000	14600000	0.0689264
chr1_hap1	14600000	14800000	0.0663749
chr1_hap1	14800000	15000000	0.0458915
chr1_hap1	15000000	15200000	0.114094
chr1_hap1	15200000	15400000	0.282598
chr1_hap1	15400000	15600000	0.0517897
chr1_hap1	15600000	15800000	0.0502143
chr1_hap1	15800000	16000000	0.13885
chr1_hap1	16000000	16200000	0.236825
chr1_hap1	16200000	16400000	
chr1_hap1	16400000	16600000	0.234498
chr1_hap1	16600000	16800000	0.078846
chr1_hap1	16800000	17000000	0.0762725
chr1_hap1	17000000	17200000	0.0383316
chr1_hap1	17200000	17400000	0.0743154
chr1_hap1	17400000	17600000	0.0388233
chr1_hap1	17600000	17800000	0.0355694
chr1_hap1	17800000	18000000	0.0628275
chr1_hap1	18000000	18200000	0.10632
chr1_hap1	18200000	18400000	0.0580975
chr1_hap1	18400000	18600000	0.0647417
chr1_hap1	18600000	18800000	0.0631671
chr1_hap1	18800000	19000000	0.0886898
chr1_hap1	19000000	19200000	0.0539969
chr1_hap1	19200000	19400000	0.0611112
chr1_hap1	19400000	19600000	0.0559544
chr1_hap1	19600000	19800000	0.0385289
chr1_hap1	19800000	20000000	0.060345
chr1_hap1	20000000	20200000	0.244433
chr1_hap1	20200000	20400000	0.423988
chr1_hap1	20400000	20600000	0.073169
chr1_hap1	20600000	20800000	0.101797
chr1_hap1	20800000	21000000	0.0499893
chr1_hap1	21000000	21200000	0.682262
chr1_hap1	21200000	21400000	0.549132
chr1_hap1	21400000	21600000	0.106265
chr1_hap1	21600000	21800000	0.048613
chr1_hap1	21800000	22000000	0.0558151
chr1_hap1	22000000	22200000	0.0502389
chr1_hap1	22200000	22400000	0.128916
chr1_hap1	22400000	22600000	0.0763651
chr1_hap1	22600000	22800000	0.167678
chr1_hap1	22800000	23000000	0.0734126
chr1_hap1	23000000	23200000	0.084251
chr1_hap1	23200000	23400000	
chr1_hap1	23400000	23600000	
chr1_hap1	23600000	23800000	
chr1_hap1	23800000	24000000	0.0514558
chr1_hap1	24000000	24200000	0.117956
chr1_hap1	24200000	24400000	0.0515004
chr1_hap1	24400000	24600000	0.0471437
chr1_hap1	24600000	24800000	0.0644209
chr1_hap1	24800000	25000000	0.0535784
chr1_hap1	25000000	25200000	0.0596158
chr1_hap1	25200000	25400000	0.106292
chr1_hap1	25400000	25600000	0.275284
chr1_hap1	25600000	25800000	0.26713
chr1_hap1	25800000	26000000	0.112365
chr1_hap1	26000000	26200000	0.0543632
chr1_hap1	26200000	26400000	0.209136
chr1_hap1	26400000	26600000	0.16013
chr1_hap1	26600000	26800000	0.0510939
chr1_hap1	26800000	27000000	0.211165
chr1_hap1	27000000	27200000	0.326602
chr1_hap1	27200000	27400000	0.109043
chr1_hap1	27400000	27600000	0.0641127
chr1_hap1	27600000	27800000	0.0694102
chr1_hap1	27800000	28000000	0.17926
chr1_hap1	28000000	28200000	0.0537618
chr1_hap1	28200000	28400000	0.102396
chr1_hap1	28400000	28600000	0.0906869
chr1_hap1	28600000	28800000	0.0621648
chr1_hap1	28800000	29000000	0.114875
chr1_hap1	29000000	29200000	0.042887
chr1_hap1	29200000	29400000	0.0575561
chr1_hap1	29400000	29600000	0.0708811
chr1_hap1	29600000	29800000	0.0587031
chr1_hap1	29800000	30000000	0.059266
chr1_hap1	30000000	30200000	0.0595597
chr1_hap1	30200000	30400000	0.0580252
chr1_hap1	30400000	30600000	0.0365433
chr1_hap1	30600000	30800000	0.0776484
chr1_hap1	30800000	31000000	0.0554331
chr1_hap1	31000000	31200000	0.10468
chr1_hap1	31200000	31400000	0.221114
chr1_hap1	31400000	31600000	0.0367064
chr1_hap1	31600000	31800000	0.0557406
chr1_hap1	31800000	32000000	0.109955
chr1_hap1	32000000	32200000	0.105964
chr1_hap1	32200000	32400000	0.210161
chr1_hap1	32400000	32600000	0.358395
chr1_hap1	32600000	32800000	0.504366
chr1_hap1	32800000	33000000	0.102292
chr1_hap1	33000000	33200000	0.0537011
chr1_hap1	33200000	33400000	0.0640498
chr1_hap1	33400000	33600000	0.0663108
chr1_hap1	33600000	33800000	0.0616547
chr1_hap1	33800000	34000000	0.444987
chr1_hap1	34000000	34200000	0.923364
chr1_hap1	34200000	34400000	0.108196
chr1_hap1	34400000	34600000	0.0881651
chr1_hap1	34600000	34800000	0.0801648
chr1_hap1	34800000	35000000	0.0614895
chr1_hap1	35000000	35200000	0.0802044
chr1_hap1	35200000	35400000	0.907426
chr1_hap1	35400000	35600000	0.771221
chr1_hap1	35600000	35800000	0.214463
chr1_hap1	35800000	36000000	0.124258
chr1_hap1	36000000	36200000	0.0858212
chr1_hap1	36200000	36400000	0.189046
chr1_hap1	36400000	36600000	0.0792872
chr1_hap1	36600000	36800000	0.0743813
chr1_hap1	36800000	37000000	0.0814959
chr1_hap1	37000000	37200000	0.0764081
chr1_hap1	37200000	37400000	0.0757425
chr1_hap1	37400000	37600000	0.0495847
chr1_hap1	37600000	37800000	0.0492855
chr1_hap1	37800000	38000000	0.0461085
chr1_hap1	38000000	38200000	0.0586627
chr1_hap1	38200000	38400000	0.0487679
chr1_hap1	38400000	38600000	0.054724
chr1_hap1	38600000	38800000	0.0807053
chr1_hap1	38800000	39000000	0.103328
chr1_hap1	39000000	39200000	0.0571232
chr1_hap1	39200000	39400000	0.0533098
chr1_hap1	39400000	39600000	0.310379
chr1_hap1	39600000	39800000	0.267376
chr1_hap1	39800000	40000000	0.0770722
chr1_hap1	40000000	40200000	0.0563316
chr1_hap1	40200000	40400000	0.259582
chr1_hap1	40400000	40600000	0.0829537
chr1_hap1	40600000	40800000	0.0639631
chr1_hap1	40800000	41000000	0.0530956
chr1_hap1	41000000	41200000	0.0438311
chr1_hap1	41200000	41400000	0.0665441
chr1_hap1	41400000	41600000	0.0590765
chr1_hap1	41600000	41800000	0.0475116
chr1_hap1	41800000	42000000	0.115282
chr1_hap1	42000000	42200000	0.121359
chr1_hap1	42200000	42400000	0.0932064
chr1_hap1	42400000	42600000	0.0719635
chr1_hap1	42600000	42800000	0.0471158
chr1_hap1	42800000	43000000	0.0445331
chr1_hap1	43000000	43200000	0.0678733
chr1_hap1	43200000	43400000	0.0907033
chr1_hap1	43400000	43600000	0.11715
chr1_hap1	43600000	43800000	
chr1_hap1	43800000	44000000	0.140728
