chrom	start	end	name	eigval1	eigval2	eigval3
chr1_hap1	0	250382078	chr1_hap1	-2208.5690114837953	1323.0415194719556	-1320.5481116974302
chr2_hap1	0	242438398	chr2_hap1	-2328.555672728951	1275.1942535677806	-1273.1706462369386
chr3_hap1	0	200940782	chr3_hap1	-1685.8916544723286	1336.7046527559248	-1317.8234760321566
chr4_hap1	0	193253728	chr4_hap1	-1803.0813891792538	1040.6819652596596	-1037.2375771246336
chr5_hap1	0	186212366	chr5_hap1	-1834.7237537030767	1072.6878992990464	1055.0656114870117
chr6_hap1	0	173051588	chr6_hap1	-1477.517605031479	-1246.174841126057	1238.8317344091727
chr7_hap1	0	161716607	chr7_hap1	-1343.8889855637613	1259.1766485847556	-1236.4303289420068
chr8_hap1	0	145465483	chr8_hap1	-1163.7400270831595	1086.9903648959523	-1073.0085816786136
chr9_hap1	0	135918162	chr9_hap1	-1230.585294494546	1170.0371121266444	-1149.7417793689012
chr10_hap1	0	134385439	chr10_hap1	-1221.0134437661395	1090.290771441949	-1078.0865993686125
chr11_hap1	0	133922055	chr11_hap1	-1154.992751959183	1134.2185703547802	1128.5195359438917
chr12_hap1	0	133376810	chr12_hap1	-1172.0512537440563	1054.3393959588052	-1047.3768192791274
chr13_hap1	0	107377685	chr13_hap1	-983.672581020262	981.3119460523776	-975.9826739710417
chr14_hap1	0	102710047	chr14_hap1	-999.3236904015126	-892.3257928443591	887.4046254416311
chr15_hap1	0	96346030	chr15_hap1	955.2511495377313	-934.0919952256038	928.3632432440523
chr16_hap1	0	96215701	chr16_hap1	905.1794214652277	-900.143816090232	896.0307801339981
chr17_hap1	0	86176721	chr17_hap1	-925.5380429894367	923.6191178499024	909.5898947002408
chr18_hap1	0	77553665	chr18_hap1	-874.4395508200447	864.5592813847653	853.2272763251808
chr19_hap1	0	69461520	chr19_hap1	726.2069044384345	719.813533686857	-701.4113469562943
chr20_hap1	0	66775821	chr20_hap1	-838.3049167968181	829.5164927357991	-802.5351412748684
chr21_hap1	0	44404722	chr21_hap1	-575.8462165581167	564.7682687019945	-562.9025034464321
chr22_hap1	0	47079544	chr22_hap1	724.2924759981715	-690.2673616924733	665.1676656700987
chrX_hap1	0	155153153	chrX_hap1	964.4952110126789	-953.5045490497664	-944.1422980454748
chr1_hap2	0	243198671	chr1_hap2	-2142.1155591566953	1329.7315355344585	-1322.0182359555843
chr2_hap2	0	242142825	chr2_hap2	-2300.6108837977526	1285.8172089734126	-1274.6696068737638
chr3_hap2	0	202683022	chr3_hap2	-1702.2081803627382	1267.158678517085	-1265.794426438295
chr4_hap2	0	191171759	chr4_hap2	-1959.2508976913455	1078.946997482013	-1055.4354387879239
chr5_hap2	0	182409348	chr5_hap2	-1798.5408444783673	1097.639583453707	1074.9302585402372
chr6_hap2	0	172871300	chr6_hap2	-1498.3173531932325	-1209.996603188324	1204.9802832207633
chr7_hap2	0	161232845	chr7_hap2	-1322.6019014641638	1241.621442500958	1223.8765712063296
chr8_hap2	0	145868755	chr8_hap2	-1180.2041694583932	-1103.890737727357	1101.8604397646332
chr9_hap2	0	135032811	chr9_hap2	-1248.5830555591156	-1236.3613363339766	1234.6661719662904
chr10_hap2	0	135648429	chr10_hap2	-1354.8500645068448	1148.844558106871	1146.6038182843424
chr11_hap2	0	136138868	chr11_hap2	1196.4911791109046	-1183.764118775819	-1158.5982981928298
chr12_hap2	0	134127282	chr12_hap2	-1306.144300980924	-1093.5436599807433	1091.2891057992197
chr13_hap2	0	112572639	chr13_hap2	-1003.0458731939262	947.9615606302897	-942.4326048370615
chr14_hap2	0	101767573	chr14_hap2	-962.2611508230525	959.702905720477	924.2797838452848
chr15_hap2	0	96851046	chr15_hap2	-949.3717484545058	931.7226599071133	926.2212905501248
chr16_hap2	0	87971686	chr16_hap2	-1034.0200114506526	1025.710355309517	986.9778650775636
chr17_hap2	0	83829559	chr17_hap2	996.5253011738238	-980.4832685346576	938.0225342292742
chr18_hap2	0	80564282	chr18_hap2	-827.7060444545671	824.2095138390839	-819.0000658824983
chr19_hap2	0	61548830	chr19_hap2	798.3681771252847	-776.1649325514103	729.4312196762905
chr20_hap2	0	65603693	chr20_hap2	-788.786564533246	786.19717724143	778.389949284747
chr21_hap2	0	42759301	chr21_hap2	-546.0551294502068	544.4210344027031	-534.7329743585774
chr22_hap2	0	48623973	chr22_hap2	649.6593833485001	-647.6603370376034	-639.8429888298217
chrX_hap2	0	153704768	chrX_hap2	-1238.3532896685776	-773.2129538801214	769.9537081231168
