chrom	start	end	name	eigval1	eigval2	eigval3
chr1_hap2	0	243198671	chr1_hap2	15499.070296427424	-10042.959178573103	9310.873060748125
chr2_hap2	0	242142825	chr2_hap2	13525.571570322609	-10585.362185641245	9124.42721872435
chr3_hap2	0	202683022	chr3_hap2	11791.859592864988	8436.588769610711	-8094.922544819195
chr4_hap2	0	191171759	chr4_hap2	-12162.622630018273	9746.743936180219	6897.98674347107
chr5_hap2	0	182409348	chr5_hap2	-9962.871190316131	9319.433650082765	7948.693085554823
chr6_hap2	0	172871300	chr6_hap2	8826.566970974134	-7763.002149230113	6993.517093370629
chr7_hap2	0	161232845	chr7_hap2	10109.878011249937	6380.468139607392	-5894.9709275496525
chr8_hap2	0	145868755	chr8_hap2	6617.903019601497	-6238.547145531347	5374.124696435742
chr9_hap2	0	135032811	chr9_hap2	6563.003519168061	-5072.745276290115	4489.442649907185
chr10_hap2	0	135648429	chr10_hap2	6845.222742542554	5525.633702550775	-5460.979471056304
chr11_hap2	0	136138868	chr11_hap2	8754.733329763627	6647.419885451517	-5572.944093142008
chr12_hap2	0	134127282	chr12_hap2	8535.838368301384	-6401.610179331625	5901.276030263252
chr13_hap2	0	112572639	chr13_hap2	4969.404494977081	-4373.649995210677	3590.925208682726
chr14_hap2	0	101767573	chr14_hap2	4783.6758145718895	-3741.97652603617	3669.4860541973712
chr15_hap2	0	96851046	chr15_hap2	3888.42062877271	3634.3615974355234	-3138.4211251236543
chr16_hap2	0	87971686	chr16_hap2	4893.442897674002	-3040.8805087783903	2935.5264865040226
chr17_hap2	0	83829559	chr17_hap2	5686.921333582402	3841.7987844578606	-3273.1514516238713
chr18_hap2	0	80564282	chr18_hap2	4192.527323458155	2830.2672382601386	-2742.8918124754955
chr19_hap2	0	61548830	chr19_hap2	3969.2043421750036	2561.242216627482	2108.5486751462367
chr20_hap2	0	65603693	chr20_hap2	3370.449752465217	2591.290153420911	-2520.256555696642
chr21_hap2	0	42759301	chr21_hap2	2161.3498539016905	-1907.2480956725717	1458.4298474581587
chr22_hap2	0	48623973	chr22_hap2	1539.1011892797478	-1308.0390163407512	1285.4945842769594
chrX_hap2	0	153704768	chrX_hap2	7448.617058494338	-6180.5289263273135	5765.377244405286
