chrom	start	end	weight
chr1_hap2	0	200000	0.00367347
chr1_hap2	200000	400000	0.00712427
chr1_hap2	400000	600000	0.00584206
chr1_hap2	600000	800000	0.00566016
chr1_hap2	800000	1000000	0.00567302
chr1_hap2	1000000	1200000	0.00612974
chr1_hap2	1200000	1400000	0.00496347
chr1_hap2	1400000	1600000	0.00487435
chr1_hap2	1600000	1800000	0.00508343
chr1_hap2	1800000	2000000	0.00547783
chr1_hap2	2000000	2200000	0.00690549
chr1_hap2	2200000	2400000	
chr1_hap2	2400000	2600000	0.00709675
chr1_hap2	2600000	2800000	0.00581047
chr1_hap2	2800000	3000000	0.00577593
chr1_hap2	3000000	3200000	0.00545916
chr1_hap2	3200000	3400000	0.00515979
chr1_hap2	3400000	3600000	0.0045011
chr1_hap2	3600000	3800000	0.00532383
chr1_hap2	3800000	4000000	0.00584905
chr1_hap2	4000000	4200000	0.00576996
chr1_hap2	4200000	4400000	0.00540622
chr1_hap2	4400000	4600000	0.00550806
chr1_hap2	4600000	4800000	0.005801
chr1_hap2	4800000	5000000	0.00577461
chr1_hap2	5000000	5200000	0.00544343
chr1_hap2	5200000	5400000	0.00547907
chr1_hap2	5400000	5600000	0.00505822
chr1_hap2	5600000	5800000	0.0048975
chr1_hap2	5800000	6000000	0.00468308
chr1_hap2	6000000	6200000	0.00452079
chr1_hap2	6200000	6400000	0.00441603
chr1_hap2	6400000	6600000	0.00507641
chr1_hap2	6600000	6800000	0.00533387
chr1_hap2	6800000	7000000	0.00535839
chr1_hap2	7000000	7200000	0.00592032
chr1_hap2	7200000	7400000	0.00518081
chr1_hap2	7400000	7600000	0.00521695
chr1_hap2	7600000	7800000	0.00485999
chr1_hap2	7800000	8000000	0.00471895
chr1_hap2	8000000	8200000	0.00523632
chr1_hap2	8200000	8400000	0.00546811
chr1_hap2	8400000	8600000	0.00456607
chr1_hap2	8600000	8800000	0.00480169
chr1_hap2	8800000	9000000	0.00479974
chr1_hap2	9000000	9200000	0.00507102
chr1_hap2	9200000	9400000	0.00460995
chr1_hap2	9400000	9600000	0.00475977
chr1_hap2	9600000	9800000	0.00443493
chr1_hap2	9800000	10000000	0.00522119
chr1_hap2	10000000	10200000	0.00479707
chr1_hap2	10200000	10400000	0.00507036
chr1_hap2	10400000	10600000	0.00488541
chr1_hap2	10600000	10800000	0.00462922
chr1_hap2	10800000	11000000	0.00546409
chr1_hap2	11000000	11200000	0.00507254
chr1_hap2	11200000	11400000	0.00505655
chr1_hap2	11400000	11600000	0.00457378
chr1_hap2	11600000	11800000	0.00454082
chr1_hap2	11800000	12000000	0.0048582
chr1_hap2	12000000	12200000	0.00551976
chr1_hap2	12200000	12400000	0.00500108
chr1_hap2	12400000	12600000	0.00774351
chr1_hap2	12600000	12800000	
chr1_hap2	12800000	13000000	
chr1_hap2	13000000	13200000	0.00565048
chr1_hap2	13200000	13400000	0.00567116
chr1_hap2	13400000	13600000	0.0057035
chr1_hap2	13600000	13800000	0.00568121
chr1_hap2	13800000	14000000	0.00583899
chr1_hap2	14000000	14200000	0.00527403
chr1_hap2	14200000	14400000	0.00503994
chr1_hap2	14400000	14600000	0.00502287
chr1_hap2	14600000	14800000	0.00456382
chr1_hap2	14800000	15000000	0.00492074
chr1_hap2	15000000	15200000	0.00450568
chr1_hap2	15200000	15400000	0.00467768
chr1_hap2	15400000	15600000	0.00498607
chr1_hap2	15600000	15800000	0.0051241
chr1_hap2	15800000	16000000	0.00489452
chr1_hap2	16000000	16200000	0.00777182
chr1_hap2	16200000	16400000	
chr1_hap2	16400000	16600000	
chr1_hap2	16600000	16800000	
chr1_hap2	16800000	17000000	
chr1_hap2	17000000	17200000	0.00532313
chr1_hap2	17200000	17400000	0.0054566
chr1_hap2	17400000	17600000	0.00477615
chr1_hap2	17600000	17800000	0.00485787
chr1_hap2	17800000	18000000	0.00547419
chr1_hap2	18000000	18200000	0.0054921
chr1_hap2	18200000	18400000	0.00526832
chr1_hap2	18400000	18600000	0.00508549
chr1_hap2	18600000	18800000	0.00470657
