track	chrom	spearman_rho	spearman_p	pearson_r	pearson_p
coding_cov	chr10_hap2	-0.18727423016346845	1.9320495482595566e-21	-0.19133852491357672	2.5063221221084578e-22
coding_cov	chr11_hap2	-0.21495295757084185	6.3501249852119295e-28	-0.2366272438514005	1.2000908614017838e-33
coding_cov	chr12_hap2	-0.18667387684773648	1.1614676681873461e-21	-0.22031397784435325	9.91756527915996e-30
coding_cov	chr13_hap2	-0.314726216925122	8.111451251081568e-45	-0.2814233160898658	8.170127623705966e-36
coding_cov	chr14_hap2	-0.3413284543800885	4.432642273930253e-48	-0.3383662353235988	3.1450953053100906e-47
coding_cov	chr15_hap2	-0.293927265205513	9.93233130185698e-32	-0.36640760538655226	1.3498538985311908e-49
coding_cov	chr16_hap2	-0.32117896121311057	1.135138441886672e-35	-0.39469006629447984	1.6437904009624243e-54
coding_cov	chr17_hap2	-0.2542497536178923	1.4197100683174878e-23	-0.35371667858083966	1.800452528882742e-45
coding_cov	chr18_hap2	-0.36777864869303717	3.3092917911560226e-48	-0.34944643744030945	2.199475705810456e-43
coding_cov	chr19_hap2	-0.26259249069792256	4.2565078783558215e-18	-0.2771556408230698	4.650980787738277e-20
coding_cov	chr1_hap2	-0.2059418916434171	1.0459352719518838e-42	-0.2286200354033947	1.7694341155059253e-52
coding_cov	chr20_hap2	-0.20642680388793683	7.507800769125931e-13	-0.19023168892683	4.213125459960536e-11
coding_cov	chr21_hap2	-0.32540906413610104	1.2747831275873393e-17	-0.2014400979270836	2.003755050274566e-07
coding_cov	chr22_hap2	-0.20113354643416134	2.2312099261659988e-07	-0.2985364913505376	6.886716203396314e-15
coding_cov	chr2_hap2	-0.2718618711866395	2.3447503361568115e-79	-0.2708646804000354	9.110953715036537e-79
coding_cov	chr3_hap2	-0.2632905933157771	1.2870356628366517e-62	-0.2854044749784243	1.0220206892535132e-73
coding_cov	chr4_hap2	-0.3875367306041026	8.505968134052323e-134	-0.36201169204023814	9.181514811074145e-116
coding_cov	chr5_hap2	-0.3019180212720532	3.0560470819170414e-74	-0.2798764651013679	1.2491698372073749e-63
coding_cov	chr6_hap2	-0.26344415802137094	3.419999699605565e-54	-0.23737672446812647	4.850936645725034e-44
coding_cov	chr7_hap2	-0.09737342474548566	9.991475937304916e-08	-0.11578557231068456	2.291606351031738e-10
coding_cov	chr8_hap2	-0.22942404658842255	9.955091444535224e-35	-0.2327527303642907	1.0126792831907996e-35
coding_cov	chr9_hap2	-0.34240860757517916	1.1771673990274498e-60	-0.3315475962817643	9.266892804203053e-57
coding_cov	chrX_hap2	0.019832856145056626	0.282939549176393	-0.0031373013948517575	0.8651395988122192
