chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap2	0.187274230232444	1.9320494820495194e-21	0.1913385378250472	2.5063056767346595e-22	0.83666
chr11_hap2	0.21495361343401076	6.347725131033395e-28	0.2366272257293301	1.2001047824415333e-33	0.7559400000000001
chr12_hap2	0.18667421165009948	1.1612717507270806e-21	0.22031397348825493	9.917591261378298e-30	0.8100499999999999
chr13_hap2	0.3147258546226212	8.113403061570146e-45	0.2814233048132776	8.170181221844405e-36	0.53452
chr14_hap2	0.3413284545827364	4.4326416765063e-48	0.338366225167461	3.145116319125581e-47	0.83415
chr15_hap2	0.293927265205513	9.93233130185698e-32	0.36640760135404504	1.3498574172596637e-49	0.85676
chr16_hap2	0.3211789915874175	1.1351207035993721e-35	0.3946900480602552	1.6438104870729807e-54	0.87816
chr17_hap2	0.2542497536178923	1.4197100683174878e-23	0.35371669064760036	1.800439301392513e-45	0.85302
chr18_hap2	0.36777943598962753	3.307661824596305e-48	0.34944643764007643	2.199475448341133e-43	0.84143
chr19_hap2	0.26259056003208403	4.25897969245576e-18	0.2771557494054501	4.650819361546321e-20	0.32616
chr1_hap2	0.20594143491243477	1.0463825177857023e-42	0.2286200221146264	1.7694587780329365e-52	0.75612
chr20_hap2	0.20642680388793683	7.507800769125931e-13	0.19023168282754932	4.2131315793023065e-11	0.7395
chr21_hap2	0.32540906413610104	1.2747831275873393e-17	0.20144013270480615	2.0037451724266635e-07	0.72624
chr22_hap2	0.20113354643416134	2.2312099261659988e-07	0.29853647148904117	6.8867457860372315e-15	0.68474
chr2_hap2	0.27186207337329504	2.3441037803835805e-79	0.27086468808124464	9.11085866170331e-79	0.80856
chr3_hap2	0.2632907058844064	1.2868759747812628e-62	0.28540446792086316	1.0220294168734989e-73	0.87794
chr4_hap2	0.38753667883653614	8.506717088911573e-134	0.36201169497531466	9.181472927769275e-116	0.83453
chr5_hap2	0.30191788842513895	3.0565173920351215e-74	0.2798764749588647	1.2491567923747182e-63	0.71156
chr6_hap2	0.2634443808570296	3.419276108608185e-54	0.23737673167561074	4.850907115983021e-44	0.60638
chr7_hap2	0.09737381137247822	9.990307463700866e-08	0.11578557852150934	2.2916012576708245e-10	0.7219
chr8_hap2	0.22942373641403277	9.957194987830721e-35	0.23275273215835868	1.0126780258711342e-35	0.86389
chr9_hap2	0.34240860777707116	1.1771671987579044e-60	0.3315476031050224	9.26684162314456e-57	0.78671
chrX_hap2	0.019832856145056626	0.282939549176393	-0.0031372906970689347	0.8651400542662163	0.0
