res	chrom	hap1_vs_hap2_spearman	n_bins
5000	chr1	0.4579040682213338	41437
5000	chr10	0.6522723431853273	24654
5000	chr11	0.7282435880639144	24735
5000	chr12	0.8555266851891402	25428
5000	chr13	0.3478832357306441	17786
5000	chr14	0.649196241581285	16847
5000	chr15	0.7265001161748624	14605
5000	chr16	0.02606422282279857	12100
5000	chr17	0.6674917711216608	14066
5000	chr18	0.41312548375910313	13916
5000	chr19	0.4318514623309672	8932
5000	chr2	0.910823283339136	45452
5000	chr20	0.6845268637909847	11495
5000	chr21	0.6188149012440091	6204
5000	chr22	-0.013100006277497479	6118
5000	chr3	0.78780849844339	38073
5000	chr4	0.36731264034525407	36416
5000	chr5	0.3750862476301557	33361
5000	chr6	0.8681042016424018	33054
5000	chr7	0.8805885036201927	29020
5000	chr8	0.7837086274673296	27363
5000	chr9	0.8383440559380492	21316
5000	chrX	0.6619332884479828	28320
10000	chr1	0.4748231697517871	20727
10000	chr10	0.6802633960308403	12330
10000	chr11	0.7463874167471256	12346
10000	chr12	0.8734478734154414	12735
10000	chr13	0.24633885548194862	8914
10000	chr14	0.6509382750666501	8437
10000	chr15	0.7664681711228438	7315
10000	chr16	-0.007778143311115366	6048
10000	chr17	0.6284344660695937	7022
10000	chr18	0.3099142649395356	6990
10000	chr19	0.4532362793594069	4415
10000	chr2	0.9277534115925804	22805
10000	chr20	0.7166696628054068	5759
10000	chr21	0.5820668766301459	3104
10000	chr22	-0.004518304441166772	3063
10000	chr3	0.7984258928225415	19113
10000	chr4	0.31690143781884916	18275
10000	chr5	0.44252424502927745	16741
10000	chr6	0.909088583945934	16576
10000	chr7	0.9032615879440877	14511
10000	chr8	0.7691873768006844	13732
10000	chr9	0.866559586555668	10683
10000	chrX	0.7255626458608332	14216
20000	chr1	0.47969199992345435	10380
20000	chr10	0.7064459394598965	6177
20000	chr11	0.7585555435513628	6191
20000	chr12	0.8886390637339855	6394
20000	chr13	0.2507346472482324	4463
20000	chr14	0.6577867700019951	4227
20000	chr15	0.7920891675599027	3665
20000	chr16	-0.012701922867189698	3022
20000	chr17	0.6446295926066108	3512
20000	chr18	0.29780899510384956	3512
20000	chr19	0.455961760999786	2189
20000	chr2	0.9462689700957406	11437
20000	chr20	0.7511901762697099	2886
20000	chr21	0.5792126091171191	1554
20000	chr22	0.003467481040227291	1531
20000	chr3	0.8083689460757558	9593
20000	chr4	0.33499222405114476	9180
20000	chr5	0.45312435358712555	8398
20000	chr6	0.9414358433250003	8314
20000	chr7	0.9218503091683172	7279
20000	chr8	0.802081076017901	6881
20000	chr9	0.8922605426920691	5353
20000	chrX	0.7619294275842291	7133
50000	chr1	0.48164630872615183	4153
50000	chr10	0.721559877335914	2462
50000	chr11	0.7658956107304074	2477
50000	chr12	0.900380976109565	2560
50000	chr13	0.25448383853131695	1783
50000	chr14	0.6696856901460048	1688
50000	chr15	0.8193896613487182	1457
50000	chr16	-0.012075083310385775	1203
50000	chr17	0.6525588980491629	1411
50000	chr18	0.30045584611704346	1405
50000	chr19	0.4693027376991476	866
50000	chr2	0.9591632238098627	4580
50000	chr20	0.7779850447297274	1154
50000	chr21	0.6496506047554793	622
50000	chr22	-0.0023820326678765874	609
50000	chr3	0.817093586520919	3845
50000	chr4	0.3421105325352972	3675
50000	chr5	0.460070327987085	3362
50000	chr6	0.961787325895587	3327
50000	chr7	0.9322288366223175	2917
50000	chr8	0.8262695801247342	2750
50000	chr9	0.906802893805803	2145
50000	chrX	0.7794203338037354	2857
100000	chr1	0.4864721420542825	2072
100000	chr10	0.7238501734502708	1231
100000	chr11	0.7696703897045636	1239
100000	chr12	0.9061252005379832	1280
100000	chr13	0.2590732164178338	892
100000	chr14	0.6798989051584258	843
100000	chr15	0.8326566429769359	736
100000	chr16	-0.003292169863983553	606
100000	chr17	0.654119148125079	710
100000	chr18	0.30090495238028836	702
100000	chr19	0.4777042996125805	429
100000	chr2	0.9643644700585523	2293
100000	chr20	0.7903134026574234	576
100000	chr21	0.6919865904415105	310
100000	chr22	-0.024688287739599718	305
100000	chr3	0.8204097977716233	1923
100000	chr4	0.34559082541216746	1839
100000	chr5	0.46434001377303336	1684
100000	chr6	0.9717010669327207	1663
100000	chr7	0.9355595699921122	1460
100000	chr8	0.834914891045065	1370
100000	chr9	0.9107526367428077	1075
100000	chrX	0.7854413864885786	1432
200000	chr1	0.4849812954556383	1041
200000	chr10	0.7328905474478005	620
200000	chr11	0.775890524773852	618
200000	chr12	0.9135348626561886	641
200000	chr13	0.27427243826128256	447
200000	chr14	0.6969924559906172	422
200000	chr15	0.8549984867518232	370
200000	chr16	0.006746909601862658	307
200000	chr17	0.6599807950732389	355
200000	chr18	0.30120611211262766	352
200000	chr19	0.4911357298321553	214
200000	chr2	0.969882488281326	1150
200000	chr20	0.8189552478655517	285
200000	chr21	0.7288098997776417	155
200000	chr22	-0.007907469207778805	153
200000	chr3	0.8237802223720321	962
200000	chr4	0.34644013870115836	920
200000	chr5	0.46393658154950695	841
200000	chr6	0.9817268017791703	834
200000	chr7	0.9401140020455125	732
200000	chr8	0.8487229785430435	686
200000	chr9	0.9114360235540124	537
200000	chrX	0.7961858774743646	713
